type;id;titre;ancienne_url;nouvelle_url_cible;action
page;209;"Accueil";https://lesgrandsraidsaski.com/accueil/;https://lesgrandsraidsaski.com/;URL différente : la page d’accueil Astro est servie à la racine "/", pas à "/accueil/". Redirection 301 précise /accueil/ → / à créer côté CDN/DNS lors de la bascule (jamais dans le dépôt Astro).
page;659;"Les voyages extra-alpins";https://lesgrandsraidsaski.com/lesvoyages/;https://lesgrandsraidsaski.com/lesvoyages/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
page;925;"Ligne de progression";https://lesgrandsraidsaski.com/progresslines-englacee/;https://lesgrandsraidsaski.com/progresslines-englacee/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
page;1012;"Alpine Line — Le film";https://lesgrandsraidsaski.com/le-film/;https://lesgrandsraidsaski.com/le-film/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
page;1615;"Les grands raids alpins";https://lesgrandsraidsaski.com/les-grands-raids-alpins/;https://lesgrandsraidsaski.com/les-grands-raids-alpins/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
page;1842;"Voyages à ski & grands raids à ski en itinérance";https://lesgrandsraidsaski.com/voyages-a-ski-en-itinerance/;https://lesgrandsraidsaski.com/voyages-a-ski-en-itinerance/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
page;1868;"Voyages à ski & grands raids à ski en itinérance_2";https://lesgrandsraidsaski.com/voyages-a-ski-grands-raids-a-ski-en-itinerance/;https://lesgrandsraidsaski.com/voyages-a-ski-grands-raids-a-ski-en-itinerance/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
page;2458;"Carnets de voyage à ski";https://lesgrandsraidsaski.com/carnets-de-voyage-ski/;https://lesgrandsraidsaski.com/carnets-de-voyage-ski/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
page;2479;"Philosophie";https://lesgrandsraidsaski.com/philosophie/;https://lesgrandsraidsaski.com/philosophie/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
page;2480;"Les prochains voyages";https://lesgrandsraidsaski.com/prochains-voyages/;https://lesgrandsraidsaski.com/prochains-voyages/;Conserver exactement l’URL, ou redirection 301 1:1 si l’URL finale change
