source_exacte,fichier_web,DateTimeOriginal,fuseau_utilisé,latitude_GPX,longitude_GPX,écart_photo_GPX_secondes,certitude_GPX,localisation,titre_media,texte_alternatif,legende,description,EXIF_complets_identiques,octets_source,octets_web,action
20240312_133757.jpg,italie-alpes-ligures-ski-randonnee-20240312-133757-001.jpg,2024:03:12 13:37:57,+01:00,44.155708,7.5961169,1813,faible,"traversée à ski des Alpes ligures, Italie — jour 1","Selfie sur un télésiège — traversée à ski des Alpes ligures, Italie","Selfie sur un télésiège pendant la traversée à ski des Alpes ligures, au jour 1 de l’itinérance.","Selfie sur un télésiège, jour 1 de la traversée à ski des Alpes ligures.","La photographie montre selfie sur un télésiège, pendant la traversée à ski des Alpes ligures. La localisation est issue du rapprochement temporel avec la trace GPX : 44.155708, 7.596117 (écart 1813 secondes, confiance faible). Nom source : 20240312_133757.jpg.",True,3086625,894274,selfie sur un télésiège
20240312_135229.jpg,italie-alpes-ligures-ski-randonnee-20240312-135229-002.jpg,2024:03:12 13:52:29,+01:00,44.155708,7.5961169,941,moyenne,"traversée à ski des Alpes ligures, Italie — jour 1","Skis alignés sur le télésiège — traversée à ski des Alpes ligures, Italie","Skis alignés sur le télésiège pendant la traversée à ski des Alpes ligures, au jour 1 de l’itinérance.","Skis alignés sur le télésiège, jour 1 de la traversée à ski des Alpes ligures.","La photographie montre skis alignés sur le télésiège, pendant la traversée à ski des Alpes ligures. La localisation est issue du rapprochement temporel avec la trace GPX : 44.155708, 7.596117 (écart 941 secondes, confiance moyenne). Nom source : 20240312_135229.jpg.",True,4391222,1229146,skis alignés sur le télésiège
20240313_132851.jpg,italie-alpes-ligures-ski-randonnee-20240313-132851-003.jpg,2024:03:13 13:28:51,+01:00,44.1739678,7.6844495,6,élevée,"traversée à ski des Alpes ligures, Italie — jour 2","Groupe réuni sur un sommet — traversée à ski des Alpes ligures, Italie","Groupe réuni sur un sommet pendant la traversée à ski des Alpes ligures, au jour 2 de l’itinérance.","Groupe réuni sur un sommet, jour 2 de la traversée à ski des Alpes ligures.","La photographie montre groupe réuni sur un sommet, pendant la traversée à ski des Alpes ligures. La localisation est issue du rapprochement temporel avec la trace GPX : 44.173968, 7.684450 (écart 6 secondes, confiance élevée). Nom source : 20240313_132851.jpg.",True,2754183,752748,groupe réuni sur un sommet
20240314_155556.jpg,italie-alpes-ligures-ski-randonnee-20240314-155556-004.jpg,2024:03:14 15:55:55,+01:00,44.1760196,7.733891,7,élevée,"traversée à ski des Alpes ligures, Italie — jour 3","Panorama sur les reliefs enneigés — traversée à ski des Alpes ligures, Italie","Panorama sur les reliefs enneigés pendant la traversée à ski des Alpes ligures, au jour 3 de l’itinérance.","Panorama sur les reliefs enneigés, jour 3 de la traversée à ski des Alpes ligures.","La photographie montre panorama sur les reliefs enneigés, pendant la traversée à ski des Alpes ligures. La localisation est issue du rapprochement temporel avec la trace GPX : 44.176020, 7.733891 (écart 7 secondes, confiance élevée). Nom source : 20240314_155556.jpg.",True,4170390,1072546,panorama sur les reliefs enneigés
20240315_073045.jpg,italie-alpes-ligures-ski-randonnee-20240315-073045-005.jpg,2024:03:15 07:30:46,+01:00,44.1913356,7.7316189,1299,moyenne,"traversée à ski des Alpes ligures, Italie — jour 4","Chapelle isolée dans la neige — traversée à ski des Alpes ligures, Italie","Chapelle isolée dans la neige pendant la traversée à ski des Alpes ligures, au jour 4 de l’itinérance.","Chapelle isolée dans la neige, jour 4 de la traversée à ski des Alpes ligures.","La photographie montre chapelle isolée dans la neige, pendant la traversée à ski des Alpes ligures. La localisation est issue du rapprochement temporel avec la trace GPX : 44.191336, 7.731619 (écart 1299 secondes, confiance moyenne). Nom source : 20240315_073045.jpg.",True,8980447,688947,chapelle isolée dans la neige
20240315_114106.jpg,italie-alpes-ligures-ski-randonnee-20240315-114106-006.jpg,2024:03:15 11:41:06,+01:00,44.1663876,7.778608,0,élevée,"traversée à ski des Alpes ligures, Italie — jour 4","Vallée au-dessus d’une mer de nuages — traversée à ski des Alpes ligures, Italie","Vallée au-dessus d’une mer de nuages pendant la traversée à ski des Alpes ligures, au jour 4 de l’itinérance.","Vallée au-dessus d’une mer de nuages, jour 4 de la traversée à ski des Alpes ligures.","La photographie montre vallée au-dessus d’une mer de nuages, pendant la traversée à ski des Alpes ligures. La localisation est issue du rapprochement temporel avec la trace GPX : 44.166388, 7.778608 (écart 0 secondes, confiance élevée). Nom source : 20240315_114106.jpg.",True,7340032,557699,vallée au-dessus d’une mer de nuages
20240315_115500.jpg,italie-alpes-ligures-ski-randonnee-20240315-115500-007.jpg,2024:03:15 11:55:01,+01:00,44.1679673,7.7805951,8,élevée,"traversée à ski des Alpes ligures, Italie — jour 4","Versant escarpé des alpes ligures — traversée à ski des Alpes ligures, Italie","Versant escarpé des alpes ligures pendant la traversée à ski des Alpes ligures, au jour 4 de l’itinérance.","Versant escarpé des alpes ligures, jour 4 de la traversée à ski des Alpes ligures.","La photographie montre versant escarpé des Alpes ligures, pendant la traversée à ski des Alpes ligures. La localisation est issue du rapprochement temporel avec la trace GPX : 44.167967, 7.780595 (écart 8 secondes, confiance élevée). Nom source : 20240315_115500.jpg.",True,11729426,990389,versant escarpé des Alpes ligures
20240315_115507(0).jpg,italie-alpes-ligures-ski-randonnee-20240315-115507-0-008.jpg,2024:03:15 11:55:07,+01:00,44.1679673,7.7805951,11,élevée,"traversée à ski des Alpes ligures, Italie — jour 4","Enchaînement de sommets enneigés — traversée à ski des Alpes ligures, Italie","Enchaînement de sommets enneigés pendant la traversée à ski des Alpes ligures, au jour 4 de l’itinérance.","Enchaînement de sommets enneigés, jour 4 de la traversée à ski des Alpes ligures.","La photographie montre enchaînement de sommets enneigés, pendant la traversée à ski des Alpes ligures. La localisation est issue du rapprochement temporel avec la trace GPX : 44.167967, 7.780595 (écart 11 secondes, confiance élevée). Nom source : 20240315_115507(0).jpg.",True,12251619,1117117,enchaînement de sommets enneigés
20240315_122851.jpg,italie-alpes-ligures-ski-randonnee-20240315-122851-009.jpg,2024:03:15 12:28:51,+01:00,44.1738806,7.785106,4,élevée,"traversée à ski des Alpes ligures, Italie — jour 4","Descente dans une grande combe — traversée à ski des Alpes ligures, Italie","Descente dans une grande combe pendant la traversée à ski des Alpes ligures, au jour 4 de l’itinérance.","Descente dans une grande combe, jour 4 de la traversée à ski des Alpes ligures.","La photographie montre descente dans une grande combe, pendant la traversée à ski des Alpes ligures. La localisation est issue du rapprochement temporel avec la trace GPX : 44.173881, 7.785106 (écart 4 secondes, confiance élevée). Nom source : 20240315_122851.jpg.",True,11778239,1012607,descente dans une grande combe
20240315_153846.jpg,italie-alpes-ligures-ski-randonnee-20240315-153846-010.jpg,2024:03:15 15:38:46,+01:00,44.1794763,7.8103418,83,élevée,"traversée à ski des Alpes ligures, Italie — jour 4","Intérieur simple d’une cabane — traversée à ski des Alpes ligures, Italie","Intérieur simple d’une cabane pendant la traversée à ski des Alpes ligures, au jour 4 de l’itinérance.","Intérieur simple d’une cabane, jour 4 de la traversée à ski des Alpes ligures.","La photographie montre intérieur simple d’une cabane, pendant la traversée à ski des Alpes ligures. La localisation est issue du rapprochement temporel avec la trace GPX : 44.179476, 7.810342 (écart 83 secondes, confiance élevée). Nom source : 20240315_153846.jpg.",True,10519377,849529,intérieur simple d’une cabane
