source,fichier_web,DateTimeOriginal,fuseau,latitude_GPX,longitude_GPX,écart_photo_GPX_secondes,certitude_GPX,localisation,action,titre_media,texte_alternatif,legende,description,EXIF_complets_identiques,octets_source,octets_web
20240428_140243.jpg,autriche-otztal-ski-randonnee-pause-col-brouillard-01.jpg,2024:04:28 14:02:43,+02:00,46.7759869,10.9740924,1,élevée,"étape Fidelitas Hütte – Martin-Busch-Hütte, Alpes de l’Ötztal, Tyrol, Autriche",pause au col dans le brouillard,Pause au col dans le brouillard — Alpes de l’Ötztal,"Skieurs regroupés avec les skis posés sur la neige dans le brouillard, étape Fidelitas Hütte – Martin-Busch-Hütte, dans les Alpes de l’Ötztal en Autriche.",Pause au col dans le brouillard pendant le tour à ski de l’Ötztal.,"Skieurs regroupés avec les skis posés sur la neige dans le brouillard. Étape fidelitas hütte – martin-busch-hütte. Point GPX le plus proche : 46.775987, 10.974092, écart temporel 1 secondes.",True,2025544,1373355
20240429_063850.jpg,autriche-otztal-ski-randonnee-interieur-refuge-otztal-02.jpg,2024:04:29 06:38:50,+02:00,46.8009783,10.8870469,2802,faible,"étape Martin-Busch-Hütte – Hochjoch Hospiz, Alpes de l’Ötztal, Tyrol, Autriche",matin dans un refuge de l’Ötztal,Matin dans un refuge de l’ötztal — Alpes de l’Ötztal,"Pièce simple du refuge avec le matériel de ski prêt au départ, étape Martin-Busch-Hütte – Hochjoch Hospiz, dans les Alpes de l’Ötztal en Autriche.",Matin dans un refuge de l’ötztal pendant le tour à ski de l’Ötztal.,"Pièce simple du refuge avec le matériel de ski prêt au départ. Étape martin-busch-hütte – hochjoch hospiz. Point GPX le plus proche : 46.800978, 10.887047, écart temporel 2802 secondes.",True,3513899,2446508
DSC08747 (1).jpg,autriche-otztal-ski-randonnee-depart-cabane-neige-03.jpg,2024:04:28 09:04:45,+02:00,46.8057596,10.9888201,652,moyenne,"étape Fidelitas Hütte – Martin-Busch-Hütte, Alpes de l’Ötztal, Tyrol, Autriche",départ à ski depuis une cabane,Départ à ski depuis une cabane — Alpes de l’Ötztal,"Groupe passant devant une petite cabane en bois sous les nuages, étape Fidelitas Hütte – Martin-Busch-Hütte, dans les Alpes de l’Ötztal en Autriche.",Départ à ski depuis une cabane pendant le tour à ski de l’Ötztal.,"Groupe passant devant une petite cabane en bois sous les nuages. Étape fidelitas hütte – martin-busch-hütte. Point GPX le plus proche : 46.805760, 10.988820, écart temporel 652 secondes.",True,424518,160751
DSC08755.jpg,autriche-otztal-ski-randonnee-vallon-glaciaire-brouillard-04.jpg,2024:04:28 09:25:18,+02:00,46.8024252,10.9901734,2,élevée,"étape Fidelitas Hütte – Martin-Busch-Hütte, Alpes de l’Ötztal, Tyrol, Autriche",traversée d’un vallon glaciaire,Traversée d’un vallon glaciaire — Alpes de l’Ötztal,"Grand vallon enneigé encadré de sommets dans les nuages, étape Fidelitas Hütte – Martin-Busch-Hütte, dans les Alpes de l’Ötztal en Autriche.",Traversée d’un vallon glaciaire pendant le tour à ski de l’Ötztal.,"Grand vallon enneigé encadré de sommets dans les nuages. Étape fidelitas hütte – martin-busch-hütte. Point GPX le plus proche : 46.802425, 10.990173, écart temporel 2 secondes.",True,406786,169630
DSC08815.jpg,autriche-otztal-ski-randonnee-montee-vers-martin-busch-05.jpg,2024:04:28 16:16:06,+02:00,46.7998119,10.892858,1,élevée,"étape Fidelitas Hütte – Martin-Busch-Hütte, Alpes de l’Ötztal, Tyrol, Autriche",montée à ski vers Martin-Busch-Hütte,Montée à ski vers martin-busch-hütte — Alpes de l’Ötztal,"Skieurs progressant dans une haute vallée enneigée, étape Fidelitas Hütte – Martin-Busch-Hütte, dans les Alpes de l’Ötztal en Autriche.",Montée à ski vers martin-busch-hütte pendant le tour à ski de l’Ötztal.,"Skieurs progressant dans une haute vallée enneigée. Étape fidelitas hütte – martin-busch-hütte. Point GPX le plus proche : 46.799812, 10.892858, écart temporel 1 secondes.",True,732623,326724
DSC08859_1.jpg,autriche-otztal-ski-randonnee-groupe-montee-glaciaire-06.jpg,2024:04:29 07:36:17,+02:00,46.7994545,10.8824656,3,élevée,"étape Martin-Busch-Hütte – Hochjoch Hospiz, Alpes de l’Ötztal, Tyrol, Autriche",montée du groupe sur le glacier,Montée du groupe sur le glacier — Alpes de l’Ötztal,"Skieurs suivant la trace sur un vaste versant blanc, étape Martin-Busch-Hütte – Hochjoch Hospiz, dans les Alpes de l’Ötztal en Autriche.",Montée du groupe sur le glacier pendant le tour à ski de l’Ötztal.,"Skieurs suivant la trace sur un vaste versant blanc. Étape martin-busch-hütte – hochjoch hospiz. Point GPX le plus proche : 46.799455, 10.882466, écart temporel 3 secondes.",True,558670,252057
DSC08874.jpg,autriche-otztal-ski-randonnee-traversee-glaciaire-panorama-07.jpg,2024:04:29 08:01:35,+02:00,46.7979808,10.8733061,0,élevée,"étape Martin-Busch-Hütte – Hochjoch Hospiz, Alpes de l’Ötztal, Tyrol, Autriche",traversée glaciaire dans l’Ötztal,Traversée glaciaire dans l’ötztal — Alpes de l’Ötztal,"Groupe avançant face aux sommets des alpes de l’ötztal, étape Martin-Busch-Hütte – Hochjoch Hospiz, dans les Alpes de l’Ötztal en Autriche.",Traversée glaciaire dans l’ötztal pendant le tour à ski de l’Ötztal.,"Groupe avançant face aux sommets des alpes de l’ötztal. Étape martin-busch-hütte – hochjoch hospiz. Point GPX le plus proche : 46.797981, 10.873306, écart temporel 0 secondes.",True,726455,348755
DSC08898.jpg,autriche-otztal-ski-randonnee-skieurs-montee-sommets-08.jpg,2024:04:29 09:17:46,+02:00,46.7984527,10.860686,1,élevée,"étape Martin-Busch-Hütte – Hochjoch Hospiz, Alpes de l’Ötztal, Tyrol, Autriche",montée à ski face aux sommets,Montée à ski face aux sommets — Alpes de l’Ötztal,"Deux skieurs progressant devant les glaciers et sommets tyroliens, étape Martin-Busch-Hütte – Hochjoch Hospiz, dans les Alpes de l’Ötztal en Autriche.",Montée à ski face aux sommets pendant le tour à ski de l’Ötztal.,"Deux skieurs progressant devant les glaciers et sommets tyroliens. Étape martin-busch-hütte – hochjoch hospiz. Point GPX le plus proche : 46.798453, 10.860686, écart temporel 1 secondes.",True,670143,308979
DSC08907 (1).jpg,autriche-otztal-ski-randonnee-groupe-haute-route-otztal-09.jpg,2024:04:29 09:25:37,+02:00,46.7985075,10.8595174,1,élevée,"étape Martin-Busch-Hütte – Hochjoch Hospiz, Alpes de l’Ötztal, Tyrol, Autriche",groupe sur la haute route de l’Ötztal,Groupe sur la haute route de l’ötztal — Alpes de l’Ötztal,"Skieurs montant sur une pente panoramique, étape Martin-Busch-Hütte – Hochjoch Hospiz, dans les Alpes de l’Ötztal en Autriche.",Groupe sur la haute route de l’ötztal pendant le tour à ski de l’Ötztal.,"Skieurs montant sur une pente panoramique. Étape martin-busch-hütte – hochjoch hospiz. Point GPX le plus proche : 46.798507, 10.859517, écart temporel 1 secondes.",True,595069,260351
DSC08931 (1).jpg,autriche-otztal-ski-randonnee-skieurs-crete-glaciaire-10.jpg,2024:04:29 10:01:09,+02:00,46.7970514,10.8549029,2,élevée,"étape Martin-Busch-Hütte – Hochjoch Hospiz, Alpes de l’Ötztal, Tyrol, Autriche",progression sur une crête glaciaire,Progression sur une crête glaciaire — Alpes de l’Ötztal,"Deux skieurs avançant sur une arête au-dessus des glaciers, étape Martin-Busch-Hütte – Hochjoch Hospiz, dans les Alpes de l’Ötztal en Autriche.",Progression sur une crête glaciaire pendant le tour à ski de l’Ötztal.,"Deux skieurs avançant sur une arête au-dessus des glaciers. Étape martin-busch-hütte – hochjoch hospiz. Point GPX le plus proche : 46.797051, 10.854903, écart temporel 2 secondes.",True,797805,375711
DSC08996.jpg,autriche-otztal-ski-randonnee-panorama-arete-otztal-11.jpg,2024:04:29 11:25:24,+02:00,46.7972012,10.8519871,2,élevée,"étape Martin-Busch-Hütte – Hochjoch Hospiz, Alpes de l’Ötztal, Tyrol, Autriche",panorama sur une arête de l’Ötztal,Panorama sur une arête de l’ötztal — Alpes de l’Ötztal,"Crête neigeuse et sommets glaciaires sous un ciel bleu, étape Martin-Busch-Hütte – Hochjoch Hospiz, dans les Alpes de l’Ötztal en Autriche.",Panorama sur une arête de l’ötztal pendant le tour à ski de l’Ötztal.,"Crête neigeuse et sommets glaciaires sous un ciel bleu. Étape martin-busch-hütte – hochjoch hospiz. Point GPX le plus proche : 46.797201, 10.851987, écart temporel 2 secondes.",True,599227,272497
