source_exacte,fichier_web,DateTimeOriginal,fuseau_utilisé,latitude_GPX,longitude_GPX,écart_photo_GPX_secondes,certitude_GPX,localisation,titre_media,texte_alternatif,legende,description,EXIF_complets_identiques,octets_source,octets_web,action
20240401_134250.jpg,autriche-verwall-ski-randonnee-20240401-134250-001.jpg,2024:04:01 13:42:50,+02:00,47.1317854,10.1209379,7016,faible,"tour à ski du Verwall, Tyrol, Autriche — jour 4","Église de montagne sous la neige — tour à ski du Verwall, Tyrol, Autriche","Église de montagne sous la neige pendant le tour à ski du Verwall au Tyrol, au jour 4 de l’itinérance.","Église de montagne sous la neige, jour 4 de le tour à ski du Verwall au Tyrol.","La photographie montre église de montagne sous la neige, pendant le tour à ski du Verwall au Tyrol. La localisation est issue du rapprochement temporel avec la trace GPX : 47.131785, 10.120938 (écart 7016 secondes, confiance faible). Nom source : 20240401_134250.jpg.",True,14539551,1261180,église de montagne sous la neige
DSC00525 (1).jpg,autriche-verwall-ski-randonnee-dsc00525-1-002.jpg,2024:03:29 11:29:38,+01:00,47.0847371,10.2644746,2,élevée,"tour à ski du Verwall, Tyrol, Autriche — jour 1","Groupe remontant un vallon encaissé — tour à ski du Verwall, Tyrol, Autriche","Groupe remontant un vallon encaissé pendant le tour à ski du Verwall au Tyrol, au jour 1 de l’itinérance.","Groupe remontant un vallon encaissé, jour 1 de le tour à ski du Verwall au Tyrol.","La photographie montre groupe remontant un vallon encaissé, pendant le tour à ski du Verwall au Tyrol. La localisation est issue du rapprochement temporel avec la trace GPX : 47.084737, 10.264475 (écart 2 secondes, confiance élevée). Nom source : DSC00525 (1).jpg.",True,745047,362839,groupe remontant un vallon encaissé
DSC00685 (1).jpg,autriche-verwall-ski-randonnee-dsc00685-1-003.jpg,2024:03:29 15:28:25,+01:00,47.0539835,10.2245361,0,élevée,"tour à ski du Verwall, Tyrol, Autriche — jour 1","Sommet effilé dans le brouillard — tour à ski du Verwall, Tyrol, Autriche","Sommet effilé dans le brouillard pendant le tour à ski du Verwall au Tyrol, au jour 1 de l’itinérance.","Sommet effilé dans le brouillard, jour 1 de le tour à ski du Verwall au Tyrol.","La photographie montre sommet effilé dans le brouillard, pendant le tour à ski du Verwall au Tyrol. La localisation est issue du rapprochement temporel avec la trace GPX : 47.053984, 10.224536 (écart 0 secondes, confiance élevée). Nom source : DSC00685 (1).jpg.",True,515756,227889,sommet effilé dans le brouillard
DSC00710.jpg,autriche-verwall-ski-randonnee-dsc00710-004.jpg,2024:03:29 15:49:28,+01:00,47.054345,10.2218043,2,élevée,"tour à ski du Verwall, Tyrol, Autriche — jour 1","Descente sous une grande paroi — tour à ski du Verwall, Tyrol, Autriche","Descente sous une grande paroi pendant le tour à ski du Verwall au Tyrol, au jour 1 de l’itinérance.","Descente sous une grande paroi, jour 1 de le tour à ski du Verwall au Tyrol.","La photographie montre descente sous une grande paroi, pendant le tour à ski du Verwall au Tyrol. La localisation est issue du rapprochement temporel avec la trace GPX : 47.054345, 10.221804 (écart 2 secondes, confiance élevée). Nom source : DSC00710.jpg.",True,528924,231766,descente sous une grande paroi
DSC00726 (1).jpg,autriche-verwall-ski-randonnee-dsc00726-1-005.jpg,2024:03:29 15:51:43,+01:00,47.0540614,10.2211398,2,élevée,"tour à ski du Verwall, Tyrol, Autriche — jour 1","Skieur face à un sommet pyramidal — tour à ski du Verwall, Tyrol, Autriche","Skieur face à un sommet pyramidal pendant le tour à ski du Verwall au Tyrol, au jour 1 de l’itinérance.","Skieur face à un sommet pyramidal, jour 1 de le tour à ski du Verwall au Tyrol.","La photographie montre skieur face à un sommet pyramidal, pendant le tour à ski du Verwall au Tyrol. La localisation est issue du rapprochement temporel avec la trace GPX : 47.054061, 10.221140 (écart 2 secondes, confiance élevée). Nom source : DSC00726 (1).jpg.",True,534287,231695,skieur face à un sommet pyramidal
DSC00754.jpg,autriche-verwall-ski-randonnee-dsc00754-006.jpg,2024:03:30 07:24:49,+01:00,46.9946932,10.2154941,5492,faible,"tour à ski du Verwall, Tyrol, Autriche — jour 2","Petit-déjeuner dans une cabane — tour à ski du Verwall, Tyrol, Autriche","Petit-déjeuner dans une cabane pendant le tour à ski du Verwall au Tyrol, au jour 2 de l’itinérance.","Petit-déjeuner dans une cabane, jour 2 de le tour à ski du Verwall au Tyrol.","La photographie montre petit-déjeuner dans une cabane, pendant le tour à ski du Verwall au Tyrol. La localisation est issue du rapprochement temporel avec la trace GPX : 46.994693, 10.215494 (écart 5492 secondes, confiance faible). Nom source : DSC00754.jpg.",True,778118,367454,petit-déjeuner dans une cabane
DSC00810 (1).jpg,autriche-verwall-ski-randonnee-dsc00810-1-007.jpg,2024:03:30 09:22:57,+01:00,46.9937784,10.2026663,1,élevée,"tour à ski du Verwall, Tyrol, Autriche — jour 2","Skieur solitaire au-dessus des vallées — tour à ski du Verwall, Tyrol, Autriche","Skieur solitaire au-dessus des vallées pendant le tour à ski du Verwall au Tyrol, au jour 2 de l’itinérance.","Skieur solitaire au-dessus des vallées, jour 2 de le tour à ski du Verwall au Tyrol.","La photographie montre skieur solitaire au-dessus des vallées, pendant le tour à ski du Verwall au Tyrol. La localisation est issue du rapprochement temporel avec la trace GPX : 46.993778, 10.202666 (écart 1 secondes, confiance élevée). Nom source : DSC00810 (1).jpg.",True,458818,198318,skieur solitaire au-dessus des vallées
DSC00834.jpg,autriche-verwall-ski-randonnee-dsc00834-008.jpg,2024:03:30 10:25:04,+01:00,46.9926396,10.1794187,2,élevée,"tour à ski du Verwall, Tyrol, Autriche — jour 2","Descente sur une large pente — tour à ski du Verwall, Tyrol, Autriche","Descente sur une large pente pendant le tour à ski du Verwall au Tyrol, au jour 2 de l’itinérance.","Descente sur une large pente, jour 2 de le tour à ski du Verwall au Tyrol.","La photographie montre descente sur une large pente, pendant le tour à ski du Verwall au Tyrol. La localisation est issue du rapprochement temporel avec la trace GPX : 46.992640, 10.179419 (écart 2 secondes, confiance élevée). Nom source : DSC00834.jpg.",True,497458,219085,descente sur une large pente
DSC00878 (1).jpg,autriche-verwall-ski-randonnee-dsc00878-1-009.jpg,2024:03:30 12:05:48,+01:00,46.992011,10.1543948,1,élevée,"tour à ski du Verwall, Tyrol, Autriche — jour 2","Virage dans une combe enneigée — tour à ski du Verwall, Tyrol, Autriche","Virage dans une combe enneigée pendant le tour à ski du Verwall au Tyrol, au jour 2 de l’itinérance.","Virage dans une combe enneigée, jour 2 de le tour à ski du Verwall au Tyrol.","La photographie montre virage dans une combe enneigée, pendant le tour à ski du Verwall au Tyrol. La localisation est issue du rapprochement temporel avec la trace GPX : 46.992011, 10.154395 (écart 1 secondes, confiance élevée). Nom source : DSC00878 (1).jpg.",True,404277,154355,virage dans une combe enneigée
DSC00911.jpg,autriche-verwall-ski-randonnee-dsc00911-010.jpg,2024:03:31 06:34:10,+02:00,47.0071871,10.1391809,4925,faible,"tour à ski du Verwall, Tyrol, Autriche — jour 3","Vue matinale depuis la fenêtre du refuge — tour à ski du Verwall, Tyrol, Autriche","Vue matinale depuis la fenêtre du refuge pendant le tour à ski du Verwall au Tyrol, au jour 3 de l’itinérance.","Vue matinale depuis la fenêtre du refuge, jour 3 de le tour à ski du Verwall au Tyrol.","La photographie montre vue matinale depuis la fenêtre du refuge, pendant le tour à ski du Verwall au Tyrol. La localisation est issue du rapprochement temporel avec la trace GPX : 47.007187, 10.139181 (écart 4925 secondes, confiance faible). Nom source : DSC00911.jpg.",True,387157,157395,vue matinale depuis la fenêtre du refuge
