fichier_original,id_original_drive,DateTimeOriginal,fuseau_original,correction_horaire,timestamp_GPX,latitude_GPX,longitude_GPX,altitude_GPX_m,ecart_EXIF_GPX_s,toponyme_retenu,confiance_localisation,fichier_web,id_copie_source_site_web_seo,titre,alt,legende,description
DSC05098.jpg,1xDwK5pzucpIUOeUOyCVAM8GKfGrWKIET,2026-04-30 14:30:53,+02:00,aucune (EXIF +02:00 converti en UTC),2026-04-30T12:30:45+00:00,46.39308,9.94169,3183,8,"secteur Piz Palü, glacier de Morteratsch",forte,bernina-piz-palu-glacier-morteratsch-panorama.jpg,1R2EdO3uwlSn79a66xgOEoCFepfrHRIsq,Panorama du Piz Palü et des glaciers depuis le glacier de Morteratsch,Un vaste cirque glaciaire sous le Piz Palü.,Un vaste cirque glaciaire sous le Piz Palü.,"Grand paysage glaciaire dans le massif de la Bernina, au pied du Piz Palü."
DSC05100.jpg,1gET70Wcqs_DUfL91kfcuO35c9lqmv5l3,2026-04-30 14:30:59,+02:00,aucune (EXIF +02:00 converti en UTC),2026-04-30T12:31:06+00:00,46.39305,9.94169,3184,7,"secteur Piz Palü, glacier de Morteratsch",forte,bernina-piz-palu-montee-glacier-morteratsch.jpg,1i__jFAuX3E0oPEOfwDtY_P2u-AQFvKks,Montée à skis sur le glacier de Morteratsch sous le Piz Palü,Un skieur remonte le glacier en direction des sommets de la Bernina.,Un skieur remonte le glacier en direction des sommets de la Bernina.,"Ski de randonnée sur le glacier de Morteratsch, dans le secteur du Piz Palü."
DSC05105.jpg,1eLacVin-6H-1QTaWxgyvur6zkFAZrrwA,2026-04-30 14:32:09,+02:00,aucune (EXIF +02:00 converti en UTC),2026-04-30T12:32:08+00:00,46.39305,9.94168,3186,1,"secteur Piz Palü, glacier de Morteratsch",forte,bernina-piz-palu-alpinistes-sous-seracs.jpg,1JDMLU2getuenyhobvCf4MLKicHxGTbeS,Alpinistes sous les séracs du Piz Palü,Deux alpinistes progressent à skis au pied des séracs.,Deux alpinistes progressent à skis au pied des séracs.,"Progression sur glacier dans le massif de la Bernina, sous les pentes du Piz Palü."
DSC05107.jpg,1pTBSW9j3dWdDDIwIWEJ4vuIFEyYFaiYH,2026-04-30 14:32:20,+02:00,aucune (EXIF +02:00 converti en UTC),2026-04-30T12:32:28+00:00,46.39306,9.94168,3185,8,"secteur Piz Palü, glacier de Morteratsch",forte,bernina-piz-palu-cordee-glacier.jpg,13XNT8GmmJUY20OrszZLisDV3VkjDnC_f,Cordée à skis face au Piz Palü,Deux skieurs évoluent encordés devant les sommets glaciaires.,Deux skieurs évoluent encordés devant les sommets glaciaires.,"Ski-alpinisme sur le glacier de Morteratsch, face au Piz Palü."
DSC05141.jpg,1r7Auz6kLXVyuR5qL2xJPnzuHhwYLMl1P,2026-04-30 16:21:48,+02:00,aucune (EXIF +02:00 converti en UTC),2026-04-30T14:21:42+00:00,46.41169,9.92472,2468,6,"glacier de Morteratsch, secteur Boval",forte,bernina-morteratsch-moraine-approche-boval.jpg,16jZpiMJVY3bVXycR5KB7GeChO60yzPWa,Approche sur la moraine du glacier de Morteratsch,Un skieur traverse une moraine rocheuse au-dessus du glacier.,Un skieur traverse une moraine rocheuse au-dessus du glacier.,Transition entre neige et terrain rocheux sur l’approche du refuge Boval.
DSC05154.jpg,1zTWqdZDpyEtrGRkq-03aEv57FytnweyC,2026-04-30 16:24:57,+02:00,aucune (EXIF +02:00 converti en UTC),2026-04-30T14:24:51+00:00,46.41169,9.92472,2466,6,refuge Boval et glacier de Morteratsch,forte,bernina-refuge-boval-dans-la-moraine.jpg,1xd1PZFw5EDDCqYOgMgwu0QqF1PwpNTDS,Le refuge Boval au-dessus du glacier de Morteratsch,"Le refuge Boval accroché à la moraine, face au massif glaciaire.","Le refuge Boval accroché à la moraine, face au massif glaciaire.","Le refuge Boval domine le glacier de Morteratsch, point d’appui du tour de la Bernina."
DSC05160.jpg,1d2PFRwTesE76xf56vIMPDt8K_7MmspjY,2026-04-30 16:58:41,+02:00,aucune (EXIF +02:00 converti en UTC),2026-04-30T14:42:28+00:00,46.41518,9.92512,2498,973,refuge Boval,moyenne,bernina-refuge-boval-cuisine.jpg,1WBf0LKeJdBdyfYv6oUjyS6_95oLut5q9,La cuisine du refuge Boval,Un gardien prépare le repas dans la cuisine du refuge.,Un gardien prépare le repas dans la cuisine du refuge.,Scène de vie au refuge Boval pendant le tour de la Bernina.
DSC05167.jpg,1vMQONEn5uvpLF4ysBvWpDAntq4jwJV-E,2026-04-30 18:25:33,+02:00,aucune (EXIF +02:00 converti en UTC),2026-04-30T14:42:28+00:00,46.41518,9.92512,2498,6185,refuge Boval et glacier de Morteratsch,à confirmer,bernina-refuge-boval-depart-a-skis.jpg,1iGpbn4koe5cY6V8bxWWdY9u72jAgr4Hy,Départ à skis depuis le refuge Boval,Un skieur quitte le refuge sur une pente enneigée.,Un skieur quitte le refuge sur une pente enneigée.,Départ matinal à skis au-dessus du glacier de Morteratsch.
DSC05178.jpg,18KeL5zWgh2MBEduJEZuzAscNdV771tbu,2026-04-30 19:25:29,+02:00,aucune (EXIF +02:00 converti en UTC),2026-04-30T14:42:28+00:00,46.41518,9.92512,2498,9781,"glacier de Morteratsch, secteur Boval",à confirmer,bernina-piz-palu-depuis-boval.jpg,1E3JzKDu_B-7Bk51eT5R8o-DmtPJSosoL,Le Piz Palü depuis le secteur Boval,Les grandes faces enneigées du Piz Palü vues depuis Boval.,Les grandes faces enneigées du Piz Palü vues depuis Boval.,Vue sur le Piz Palü et les glaciers de la Bernina depuis le secteur du refuge Boval.
DSC05189.jpg,16DRlSASw2o2Uo9K7-Mg_uxa_UktuOeUg,2026-05-01 09:26:06,+02:00,aucune (EXIF +02:00 converti en UTC),2026-05-01T07:25:59+00:00,46.42007,9.90037,3148,7,glacier de Morteratsch,forte,bernina-morteratsch-descente-glacier.jpg,1Y84baCnyAsah_L_xKKAehNSevICUfrrg,Descente sur le glacier de Morteratsch,Deux skieurs descendent une grande pente glaciaire.,Deux skieurs descendent une grande pente glaciaire.,Ski de randonnée sur les étendues du glacier de Morteratsch.
DSC05207.jpg,1G93q6DxJhPM76XcEQ-aQl3gdNDP8tq26,2026-05-01 11:49:08,+02:00,aucune (EXIF +02:00 converti en UTC),2026-05-01T09:49:15+00:00,46.40345,9.88439,2783,7,"glacier de Morteratsch, secteur Boval",forte,bernina-piz-palu-et-glacier-de-morteratsch.jpg,1K9m_yXh-zaDYVxIHZKm_fx8dshm9F_Kx,Massif du Piz Palü au-dessus du glacier de Morteratsch,Les sommets et glaciers du Piz Palü dominent la vallée.,Les sommets et glaciers du Piz Palü dominent la vallée.,Le massif glaciaire de la Bernina depuis le glacier de Morteratsch.
DSC05209.jpg,1zj6uJZpF9jjuYmAkRpz28D7aFphJSx-f,2026-05-01 13:01:26,+02:00,aucune (EXIF +02:00 converti en UTC),2026-05-01T11:01:25+00:00,46.40362,9.88020,2583,1,"glacier de Morteratsch, secteur Boval",forte,bernina-boval-abri-de-montagne.jpg,1fXDEHHoyl_btikNPLj0uXqIc-RkqyOYm,Abri de montagne au-dessus du glacier de Morteratsch,Un petit abri isolé se détache dans la moraine enneigée.,Un petit abri isolé se détache dans la moraine enneigée.,"Ambiance de haute montagne près du refuge Boval, au-dessus du glacier de Morteratsch."
DSC05232.jpg,1AGnTsINVgMJ5UshfopwpWYEECyFpDDlN,2026-05-01 14:24:58,+02:00,aucune (EXIF +02:00 converti en UTC),2026-05-01T12:25:03+00:00,46.39766,9.87271,2418,5,glacier de Morteratsch,forte,bernina-seracs-glacier-morteratsch.jpg,1rGpMgcytJIKddP7z7FxajRqraH-haHqO,Séracs sur le glacier de Morteratsch,Deux alpinistes à skis passent au pied d’un chaos de séracs.,Deux alpinistes à skis passent au pied d’un chaos de séracs.,Progression prudente dans le terrain glaciaire de la Bernina.
DSC05246.jpg,1ef4aw7DrUSB13Pve-XVL-f85sp3VBUbK,2026-05-01 14:36:52,+02:00,aucune (EXIF +02:00 converti en UTC),2026-05-01T12:36:48+00:00,46.39428,9.87290,2516,4,glacier de Morteratsch,forte,bernina-traversee-glacier-morteratsch.jpg,1zFcYqEXolz6WwkHWLuh_Z-U0CG3axFEd,Traversée du glacier de Morteratsch,Deux skieurs avancent sur un glacier vaste et crevassé.,Deux skieurs avancent sur un glacier vaste et crevassé.,Traversée à skis du glacier de Morteratsch dans le massif de la Bernina.
DSC05255.jpg,1MnBS7FbeouxgFhmk3lEZRGqL4tEl7vD1,2026-05-01 18:47:00,+02:00,aucune (EXIF +02:00 converti en UTC),2026-05-01T16:46:59+00:00,46.36761,9.87206,3209,1,glacier de Morteratsch,forte,bernina-grande-combe-glaciaire-bernina.jpg,1ZwJiZvPHffSrJVQC1y8DdUmxKHU5ZIe0,Grande combe glaciaire dans la Bernina,Deux silhouettes remontent une vaste pente de neige.,Deux silhouettes remontent une vaste pente de neige.,Ski de randonnée dans une grande combe glaciaire du massif de la Bernina.
DSC05265.jpg,1DWaIzjZEJ4fIdJQQ0jI1eJSj1wv28_NS,2026-05-01 18:49:36,+02:00,aucune (EXIF +02:00 converti en UTC),2026-05-01T16:49:33+00:00,46.36696,9.87286,3224,3,glacier de Morteratsch,forte,bernina-skieurs-sur-glacier-bernina.jpg,1hFn5JxbTWwXKrcIDwlbUw6hBFXcoogaa,Skieurs sur le glacier dans le massif de la Bernina,Deux skieurs progressent sur la neige au pied de hautes parois.,Deux skieurs progressent sur la neige au pied de hautes parois.,Ski-alpinisme sur glacier dans le massif de la Bernina.
DSC05273.jpg,1NprPw4xFq4JMoD3OhpeQLb4W2O7_DCuY,2026-05-01 19:34:38,+02:00,aucune (EXIF +02:00 converti en UTC),2026-05-01T17:34:42+00:00,46.36143,9.88347,3184,4,Fuorcla Crast’Agüzza,forte,bernina-bivouac-fuorcla-crast-aguzza.jpg,1TIJrBQqaVqBB5VROsWEzCBsQsq-FizTq,Bivouac à la Fuorcla Crast’Agüzza,Un bivouac rouge installé sur les hauteurs de la Bernina.,Un bivouac rouge installé sur les hauteurs de la Bernina.,Bivouac d’altitude à la Fuorcla Crast’Agüzza durant le tour de la Bernina.
DSC05300 (1).jpg,1vtobuDGRvsvGAm3muMmfBOtfzTVElggT,2026-05-02 06:28:58,+02:00,aucune (EXIF +02:00 converti en UTC),2026-05-02T06:19:51+00:00,46.36143,9.88352,3189,6653,Fuorcla Crast’Agüzza,à confirmer,bernina-interieur-bivouac-crast-aguzza.jpg,15I61tYXQYwpS7zISkHK0kUPJE03TyOZU,Intérieur du bivouac de la Fuorcla Crast’Agüzza,Les alpinistes s’installent dans le petit abri de haute altitude.,Les alpinistes s’installent dans le petit abri de haute altitude.,Vie de bivouac à la Fuorcla Crast’Agüzza dans le massif de la Bernina.
DSC05313.jpg,1rGclGNMx3rUT3TcIOGL0T7Pk2_UpI9XR,2026-05-02 07:26:50,+02:00,aucune (EXIF +02:00 converti en UTC),2026-05-02T06:19:51+00:00,46.36143,9.88352,3189,3181,Fuorcla Crast’Agüzza,à confirmer,bernina-rechaud-bivouac-crast-aguzza.jpg,1VQ0Q8CyITmg2tq6SzVB9ChNLGSrYYFqA,Réchaud au bivouac de la Fuorcla Crast’Agüzza,Le repas se prépare dans le bivouac de haute montagne.,Le repas se prépare dans le bivouac de haute montagne.,Le quotidien d’une nuit en altitude à la Fuorcla Crast’Agüzza.
DSC05320 (1).jpg,1doa0ElqlbWxI0I1KT8Q8HupLHq-JZ18_,2026-05-02 08:15:23,+02:00,aucune (EXIF +02:00 converti en UTC),2026-05-02T06:19:51+00:00,46.36143,9.88352,3189,268,Fuorcla Crast’Agüzza,moyenne,bernina-depart-bivouac-haute-montagne.jpg,1DqZ-anJ0PisgRQoPPj1xNjt9OGfbklkK,Départ du bivouac en haute montagne,"Un alpiniste sort du bivouac rouge, skis sur le sac.","Un alpiniste sort du bivouac rouge, skis sur le sac.",Départ pour une journée de ski-alpinisme depuis la Fuorcla Crast’Agüzza.
DSC05335.jpg,1D_8NXxST9QiDDOQvlnu698Hrr0Bz4IJX,2026-05-02 11:02:56,+02:00,aucune (EXIF +02:00 converti en UTC),2026-05-02T09:02:58+00:00,46.36159,9.94261,3318,2,Fuorcla Crast’Agüzza,forte,bernina-montee-vers-bivouac-crast-aguzza.jpg,1j0KqxHT2AZDQS8ue5lSPdZzmRO0C3vJ2,Montée vers le bivouac de la Fuorcla Crast’Agüzza,Un skieur rejoint le bivouac par une pente raide.,Un skieur rejoint le bivouac par une pente raide.,Montée à skis vers le bivouac de la Fuorcla Crast’Agüzza.
DSC05339.jpg,1Bb1wCnNwr3uUK3ncEFvESkj3GjFKkSkv,2026-05-02 11:46:35,+02:00,aucune (EXIF +02:00 converti en UTC),2026-05-02T09:46:35+00:00,46.36179,9.94972,3519,0,arête du Piz Bernina,forte,bernina-ski-alpinisme-arete-piz-bernina.jpg,1a8q18j-JRielBLt4eW5aDPaQM3osfNVp,Ski-alpinisme sur l’arête du Piz Bernina,Un alpiniste avance skis sur le sac sur une arête enneigée.,Un alpiniste avance skis sur le sac sur une arête enneigée.,Progression alpine sur l’arête du Piz Bernina.
DSC05348.jpg,1cqlxXXhYzpXVej2BY1OJLAXwdvG3cJ0I,2026-05-02 11:48:43,+02:00,aucune (EXIF +02:00 converti en UTC),2026-05-02T09:48:52+00:00,46.36147,9.94983,3532,9,sommet du Piz Bernina,forte,bernina-piz-bernina-panorama-sommet.jpg,1jGde6fzHcFFXSDKBJPJRyO0-sJB6Yn8o,Panorama depuis le sommet du Piz Bernina,La chaîne alpine s’étend sous le sommet enneigé.,La chaîne alpine s’étend sous le sommet enneigé.,"Panorama d’altitude depuis le Piz Bernina, point culminant des Alpes orientales."
DSC05353 (1).jpg,1BxwISA2zQC7QPlXtASNcVc1xi5wz7grR,2026-05-02 16:25:54,+02:00,aucune (EXIF +02:00 converti en UTC),2026-05-02T14:25:59+00:00,46.38242,9.90801,4048,5,sommet du Piz Bernina,forte,bernina-piz-bernina-vue-sur-les-alpes.jpg,1qOYv3S_EUXU547Yp30QJmlkH1kcsYkud,Vue sur les Alpes depuis le Piz Bernina,Les sommets se succèdent au loin depuis la haute arête.,Les sommets se succèdent au loin depuis la haute arête.,Vue depuis le sommet du Piz Bernina sur les Alpes suisses et italiennes.
DSC05367.jpg,1-YfHslu9je8rvItmfyPDfiFduJeVyYun,2026-05-02 19:04:49,+02:00,aucune (EXIF +02:00 converti en UTC),2026-05-02T16:48:37+00:00,46.36115,9.95017,3539,972,Fuorcla Crast’Agüzza,moyenne,bernina-repas-au-bivouac-crast-aguzza.jpg,1rc2pIKCP7OPadBiFYpnCfQHt9pNM2jSj,Repas au bivouac de la Fuorcla Crast’Agüzza,Deux alpinistes partagent le repas dans le petit abri.,Deux alpinistes partagent le repas dans le petit abri.,Soirée au bivouac de la Fuorcla Crast’Agüzza pendant le tour de la Bernina.
DSC05384.jpg,1IV8eB-TbCx7KTwyKLmQL_GK7NYMD4a4X,2026-05-03 05:28:38,+02:00,aucune (EXIF +02:00 converti en UTC),2026-05-03T03:28:47+00:00,46.37590,9.95165,3654,9,Fuorcla Crast’Agüzza,forte,bernina-ski-nocturne-sous-la-lune.jpg,1Gt-YnoXwow7Z-isCDUTpPmsC-gwZN5CM,Ski nocturne sous la lune à la Fuorcla Crast’Agüzza,Deux skieurs remontent une pente enneigée à la lueur de leurs frontales.,Deux skieurs remontent une pente enneigée à la lueur de leurs frontales.,Ambiance de ski-alpinisme nocturne près de la Fuorcla Crast’Agüzza.
DSC05387.jpg,13SwJMrzOjmP21GhiOzmzIDt-6F1zNe_I,2026-05-03 05:28:42,+02:00,aucune (EXIF +02:00 converti en UTC),2026-05-03T03:28:47+00:00,46.37590,9.95165,3654,5,Fuorcla Crast’Agüzza,forte,bernina-frontales-lune-haute-montagne.jpg,1c-e1XOQmb1nldYQLYaEWQ0uOtSq_H7TK,Frontales et lune en haute montagne,Des alpinistes progressent de nuit sur le glacier.,Des alpinistes progressent de nuit sur le glacier.,Progression nocturne à skis dans le massif de la Bernina.
DSC05409.jpg,17h1eMWBcq4qTmX4PO0NTJOk9-o0yOk1k,2026-05-03 05:29:43,+02:00,aucune (EXIF +02:00 converti en UTC),2026-05-03T03:29:48+00:00,46.37589,9.95171,3655,5,Fuorcla Crast’Agüzza,forte,bernina-aube-sur-le-glacier-bernina.jpg,1rXRmmQdtS2ENfkZDw6cugFeHiIdWv3Qh,Aube sur le glacier de la Bernina,Les premières lueurs colorent les montagnes au-dessus du glacier.,Les premières lueurs colorent les montagnes au-dessus du glacier.,L’aube depuis les hauteurs du massif de la Bernina.
DSC05413.jpg,1RUfl1t35BsjMg-MsiNamLBNtffYEDrTH,2026-05-03 05:42:51,+02:00,aucune (EXIF +02:00 converti en UTC),2026-05-03T03:42:49+00:00,46.37816,9.95486,3743,2,arête est du Piz Palü,forte,bernina-lune-sur-piz-palu.jpg,1zMvLuSemXhM76TqtgcGF-z37HkSz7bgM,La lune au-dessus du Piz Palü,La lune éclaire les neiges du Piz Palü avant le jour.,La lune éclaire les neiges du Piz Palü avant le jour.,Ambiance nocturne sur l’arête est du Piz Palü.
DSC05415.jpg,19GE5jrNqty7tTk0FaBrb7PGWap7o78x4,2026-05-03 05:51:05,+02:00,aucune (EXIF +02:00 converti en UTC),2026-05-03T03:50:57+00:00,46.37821,9.95514,3753,8,arête est du Piz Palü,forte,bernina-piz-palu-lever-du-jour.jpg,1OfreDGitLdsffKggKEyHmBSKeDmSoqzg,Le jour se lève sur le Piz Palü,Un ciel rose accompagne les premières lumières sur les sommets.,Un ciel rose accompagne les premières lumières sur les sommets.,Lever du jour sur le Piz Palü lors d’une journée de ski-alpinisme.
