source,fichier_web,DateTimeOriginal,date_contextuelle,justification_date,fuseau,latitude_GPX,longitude_GPX,écart_photo_GPX_secondes,certitude_GPX,localisation,action,titre_media,texte_alternatif,legende,description,EXIF_complets_identiques,octets_source,octets_web
DSC06767.jpg,georgie-svanetie-repas-groupe-guesthouse-01.jpg,2024:04:11 15:06:38,2024-04-11 15:06:38,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0518711,42.5265439,88781,faible,"vallée de Becho, vers le massif de l’Ushba",repas partagé dans une guesthouse,"Repas partagé dans une guesthouse — vallée de Becho, vers le massif de l’Ushba","Compagnons réunis autour d’une table garnie, vallée de Becho, vers le massif de l’Ushba, pendant une traversée à ski en Haute-Svanétie.",Repas partagé dans une guesthouse pendant la traversée à ski de la Haute-Svanétie.,"Compagnons réunis autour d’une table garnie. Point GPX le plus proche temporellement : 43.051871, 42.526544, avec un écart de 88781 secondes.",True,1125975,543639
DSC06704.jpg,georgie-svanetie-interieur-maison-svane-02.jpg,2024:04:10 19:18:37,2024-04-10 19:18:37,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0518711,42.5265439,17500,faible,"vallée de Becho, vers le massif de l’Ushba",intérieur d’une maison svane,"Intérieur d’une maison svane — vallée de Becho, vers le massif de l’Ushba","Pièce traditionnelle et objets du quotidien, vallée de Becho, vers le massif de l’Ushba, pendant une traversée à ski en Haute-Svanétie.",Intérieur d’une maison svane pendant la traversée à ski de la Haute-Svanétie.,"Pièce traditionnelle et objets du quotidien. Point GPX le plus proche temporellement : 43.051871, 42.526544, avec un écart de 17500 secondes.",True,828282,429218
DSC06692_1.jpg,georgie-svanetie-habitant-travaux-village-03.jpg,2024:04:10 17:56:50,2024-04-10 17:56:50,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0518711,42.5265439,12593,faible,"vallée de Becho, vers le massif de l’Ushba",travaux dans le village,"Travaux dans le village — vallée de Becho, vers le massif de l’Ushba","Habitant travaillant devant une maison, vallée de Becho, vers le massif de l’Ushba, pendant une traversée à ski en Haute-Svanétie.",Travaux dans le village pendant la traversée à ski de la Haute-Svanétie.,"Habitant travaillant devant une maison. Point GPX le plus proche temporellement : 43.051871, 42.526544, avec un écart de 12593 secondes.",True,914596,463928
DSC06615.jpg,georgie-svanetie-portrait-habitant-svanetie-04.jpg,2024:04:10 16:30:33,2024-04-10 16:30:33,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0518711,42.5265439,7416,faible,"vallée de Becho, vers le massif de l’Ushba",portrait d’un habitant,"Portrait d’un habitant — vallée de Becho, vers le massif de l’Ushba","Habitant debout dans l’encadrement d’une porte, vallée de Becho, vers le massif de l’Ushba, pendant une traversée à ski en Haute-Svanétie.",Portrait d’un habitant pendant la traversée à ski de la Haute-Svanétie.,"Habitant debout dans l’encadrement d’une porte. Point GPX le plus proche temporellement : 43.051871, 42.526544, avec un écart de 7416 secondes.",True,688698,314916
DSC06591.jpg,georgie-svanetie-portraits-locaux-05.jpg,2024:04:10 15:59:28,2024-04-10 15:59:28,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0518711,42.5265439,5551,faible,"vallée de Becho, vers le massif de l’Ushba",rencontre avec des habitants,"Rencontre avec des habitants — vallée de Becho, vers le massif de l’Ushba","Deux hommes du village photographiés côte à côte, vallée de Becho, vers le massif de l’Ushba, pendant une traversée à ski en Haute-Svanétie.",Rencontre avec des habitants pendant la traversée à ski de la Haute-Svanétie.,"Deux hommes du village photographiés côte à côte. Point GPX le plus proche temporellement : 43.051871, 42.526544, avec un écart de 5551 secondes.",True,625992,292753
DSC06549.jpg,georgie-svanetie-repas-georgien-convivial-06.jpg,2024:04:10 14:41:51,2024-04-10 14:41:51,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0518711,42.5265439,894,moyenne,"vallée de Becho, vers le massif de l’Ushba",repas géorgien convivial,"Repas géorgien convivial — vallée de Becho, vers le massif de l’Ushba","Groupe partageant de nombreux plats, vallée de Becho, vers le massif de l’Ushba, pendant une traversée à ski en Haute-Svanétie.",Repas géorgien convivial pendant la traversée à ski de la Haute-Svanétie.,"Groupe partageant de nombreux plats. Point GPX le plus proche temporellement : 43.051871, 42.526544, avec un écart de 894 secondes.",True,1133370,522811
DSC06517.jpg,georgie-svanetie-groupe-skieurs-guesthouse-07.jpg,2024:04:10 14:23:27,2024-04-10 14:23:27,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0519265,42.5262911,0,élevée,"vallée de Becho, vers le massif de l’Ushba",groupe de skieurs dans la guesthouse,"Groupe de skieurs dans la guesthouse — vallée de Becho, vers le massif de l’Ushba","Compagnons rassemblés après l’étape, vallée de Becho, vers le massif de l’Ushba, pendant une traversée à ski en Haute-Svanétie.",Groupe de skieurs dans la guesthouse pendant la traversée à ski de la Haute-Svanétie.,"Compagnons rassemblés après l’étape. Point GPX le plus proche temporellement : 43.051927, 42.526291, avec un écart de 0 secondes.",True,777328,373115
DSC06486 (1).jpg,georgie-svanetie-marche-village-skieurs-08.jpg,2024:04:10 14:07:34,2024-04-10 14:07:34,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0574432,42.5331192,2,élevée,"vallée de Becho, vers le massif de l’Ushba",marche dans le village avec les skis,"Marche dans le village avec les skis — vallée de Becho, vers le massif de l’Ushba","Skieurs portant leur matériel entre les maisons, vallée de Becho, vers le massif de l’Ushba, pendant une traversée à ski en Haute-Svanétie.",Marche dans le village avec les skis pendant la traversée à ski de la Haute-Svanétie.,"Skieurs portant leur matériel entre les maisons. Point GPX le plus proche temporellement : 43.057443, 42.533119, avec un écart de 2 secondes.",True,1063255,503451
DSC06467.jpg,georgie-svanetie-groupe-depart-raid-09.jpg,2024:04:10 12:37:19,2024-04-10 12:37:19,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0934298,42.5600663,1,élevée,"vallée de Becho, vers le massif de l’Ushba",groupe au départ de l’étape,"Groupe au départ de l’étape — vallée de Becho, vers le massif de l’Ushba","Skieurs réunis dans la neige avant le départ, vallée de Becho, vers le massif de l’Ushba, pendant une traversée à ski en Haute-Svanétie.",Groupe au départ de l’étape pendant la traversée à ski de la Haute-Svanétie.,"Skieurs réunis dans la neige avant le départ. Point GPX le plus proche temporellement : 43.093430, 42.560066, avec un écart de 1 secondes.",True,506736,208417
DSC06366.jpg,georgie-svanetie-anciens-vehicules-village-10.jpg,2024:04:09 14:26:17,2024-04-09 14:26:17,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0691198,42.6159628,1,élevée,vallée de Becho et Mazeri,anciens véhicules dans le village,Anciens véhicules dans le village — vallée de Becho et Mazeri,"Véhicules tout-terrain stationnés dans une rue, vallée de Becho et Mazeri, pendant une traversée à ski en Haute-Svanétie.",Anciens véhicules dans le village pendant la traversée à ski de la Haute-Svanétie.,"Véhicules tout-terrain stationnés dans une rue. Point GPX le plus proche temporellement : 43.069120, 42.615963, avec un écart de 1 secondes.",True,1346298,688287
DSC06355 (1).jpg,georgie-svanetie-vaches-route-village-11.jpg,2024:04:09 14:20:51,2024-04-09 14:20:51,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0683645,42.6191464,2,élevée,vallée de Becho et Mazeri,vaches le long de la route,Vaches le long de la route — vallée de Becho et Mazeri,"Troupeau près de la chaussée dans la vallée, vallée de Becho et Mazeri, pendant une traversée à ski en Haute-Svanétie.",Vaches le long de la route pendant la traversée à ski de la Haute-Svanétie.,"Troupeau près de la chaussée dans la vallée. Point GPX le plus proche temporellement : 43.068365, 42.619146, avec un écart de 2 secondes.",True,1602789,627271
DSC06336 (1).jpg,georgie-svanetie-vaches-village-12.jpg,2024:04:09 14:20:29,2024-04-09 14:20:29,Date EXIF utilisée telle quelle; localisation rapprochée de la trace GPX.,+04:00,43.0683645,42.6191464,1,élevée,vallée de Becho et Mazeri,vaches dans le village,Vaches dans le village — vallée de Becho et Mazeri,"Bétail circulant devant les maisons, vallée de Becho et Mazeri, pendant une traversée à ski en Haute-Svanétie.",Vaches dans le village pendant la traversée à ski de la Haute-Svanétie.,"Bétail circulant devant les maisons. Point GPX le plus proche temporellement : 43.068365, 42.619146, avec un écart de 1 secondes.",True,1282090,638100
