fichier_retouche,id_drive_source,DateTimeOriginal,timestamp_GPX,ecart_s,latitude,longitude,altitude_m,toponyme_secteur,fichier_SEO,titre,texte_ALT,legende,description,confiance
DSC09428 (2026-03-02T05_34_29.974).jpg,163VnVt5XWXnptBxaFcrMT5-csViaGMnJ,2026:02:20 10:27:50 +01:00,2026-02-22T07:20:51Z,165181,39.448492,21.227715,1033,Tzoumerka — secteur Theodoriana,tzoumerka-secteur-theodoriana-arrivee-devant-un-cafe-grece-01.jpg,Arrivee devant un cafe — Tzoumerka — secteur Theodoriana,"Arrivee devant un cafe, tzoumerka — secteur theodoriana, lors d’une itinérance à ski en Grèce.",Arrivee devant un cafe dans les montagnes du tzoumerka — secteur theodoriana.,"Itinérance à ski en Grèce : arrivee devant un cafe, dans le secteur tzoumerka — secteur theodoriana.",moyenne
DSC09514 (2026-03-02T05_34_31.269).jpg,17Cmd3krrkteev93MTAicXzS4nyC5mFD3,2026:02:21 12:51:19 +01:00,2026-02-22T07:20:51Z,70172,39.448492,21.227715,1033,Tzoumerka — secteur Theodoriana,tzoumerka-secteur-theodoriana-ferry-et-avion-au-port-grece-02.jpg,Ferry et avion au port — Tzoumerka — secteur Theodoriana,"Ferry et avion au port, tzoumerka — secteur theodoriana, lors d’une itinérance à ski en Grèce.",Ferry et avion au port dans les montagnes du tzoumerka — secteur theodoriana.,"Itinérance à ski en Grèce : ferry et avion au port, dans le secteur tzoumerka — secteur theodoriana.",moyenne
DSC09544 (2026-03-02T05_34_54.295).jpg,1A6BkYM-XytWJ3dLicW-CRHAz79EuwX5p,2026:02:22 06:14:09 +01:00,2026-02-22T07:20:51Z,7602,39.448492,21.227715,1033,Tzoumerka — secteur Theodoriana,tzoumerka-secteur-theodoriana-portrait-dans-une-epicerie-grece-03.jpg,Portrait dans une epicerie — Tzoumerka — secteur Theodoriana,"Portrait dans une epicerie, tzoumerka — secteur theodoriana, lors d’une itinérance à ski en Grèce.",Portrait dans une epicerie dans les montagnes du tzoumerka — secteur theodoriana.,"Itinérance à ski en Grèce : portrait dans une epicerie, dans le secteur tzoumerka — secteur theodoriana.",moyenne
DSC09567 (2026-03-02T05_34_36.844).jpg,1j8_oHdLY6lOR6ba_BzCjaiYWgfXHINW7,2026:02:22 06:29:49 +01:00,2026-02-22T07:20:51Z,6662,39.448492,21.227715,1033,Tzoumerka — secteur Theodoriana,tzoumerka-secteur-theodoriana-portrait-au-refuge-grece-04.jpg,Portrait au refuge — Tzoumerka — secteur Theodoriana,"Portrait au refuge, tzoumerka — secteur theodoriana, lors d’une itinérance à ski en Grèce.",Portrait au refuge dans les montagnes du tzoumerka — secteur theodoriana.,"Itinérance à ski en Grèce : portrait au refuge, dans le secteur tzoumerka — secteur theodoriana.",moyenne
DSC09610 (2026-03-02T05_34_52.735).jpg,10C-RUNv_4omvCEWdjBQ16pqFZ4xuC1JL,2026:02:22 09:07:08 +01:00,2026-02-22T08:07:07Z,1,39.460944,21.215173,1318,Tzoumerka — secteur Theodoriana,tzoumerka-secteur-theodoriana-depart-a-pied-en-foret-grece-05.jpg,Depart a pied en foret — Tzoumerka — secteur Theodoriana,"Depart a pied en foret, tzoumerka — secteur theodoriana, lors d’une itinérance à ski en Grèce.",Depart a pied en foret dans les montagnes du tzoumerka — secteur theodoriana.,"Itinérance à ski en Grèce : depart a pied en foret, dans le secteur tzoumerka — secteur theodoriana.",forte
DSC09763 (2026-03-02T05_34_41.745).jpg,1d3nZzoaS6vjiORqOjx9gvi3KdCjF9mIq,2026:02:22 13:15:42 +01:00,2026-02-22T12:15:50Z,8,39.524055,21.180207,1880,Tzoumerka — secteur Theodoriana,tzoumerka-secteur-theodoriana-traversee-a-ski-sur-neige-grece-06.jpg,Traversee a ski sur neige — Tzoumerka — secteur Theodoriana,"Traversee a ski sur neige, tzoumerka — secteur theodoriana, lors d’une itinérance à ski en Grèce.",Traversee a ski sur neige dans les montagnes du tzoumerka — secteur theodoriana.,"Itinérance à ski en Grèce : traversee a ski sur neige, dans le secteur tzoumerka — secteur theodoriana.",forte
DSC09791 (1).jpg,1rHM54Yeoz4nLLdNitYcUn52JN5LMMG0w,2026:02:22 13:22:48 +01:00,2026-02-22T12:22:47Z,1,39.530165,21.181437,1715,Tzoumerka — secteur Theodoriana,tzoumerka-secteur-theodoriana-pentes-de-poudreuse-sous-les-cretes-grece-07.jpg,Pentes de poudreuse sous les cretes — Tzoumerka — secteur Theodoriana,"Pentes de poudreuse sous les cretes, tzoumerka — secteur theodoriana, lors d’une itinérance à ski en Grèce.",Pentes de poudreuse sous les cretes dans les montagnes du tzoumerka — secteur theodoriana.,"Itinérance à ski en Grèce : pentes de poudreuse sous les cretes, dans le secteur tzoumerka — secteur theodoriana.",forte
DSC01250 (1) (2026-05-16T13_41_00.623).jpg,1QR-e_NzH920rU--7XJ0AcWIv4zhnS2LP,2026:02:25 17:32:09 +01:00,2026-02-25T16:32:13Z,4,39.931681,21.097332,1993,Pinde — Périvoli et Vasilitsa,pinde-perivoli-vasilitsa-pin-isole-au-coucher-du-soleil-grece-08.jpg,Pin isole au coucher du soleil — Pinde — Périvoli et Vasilitsa,"Pin isole au coucher du soleil, pinde — périvoli et vasilitsa, lors d’une itinérance à ski en Grèce.",Pin isole au coucher du soleil dans les montagnes du pinde — périvoli et vasilitsa.,"Itinérance à ski en Grèce : pin isole au coucher du soleil, dans le secteur pinde — périvoli et vasilitsa.",forte
DSC01721 (1) (2026-05-16T13_40_58.561).jpg,11y8E67vS0SAwuidmRShte9udssN6MLzd,2026:02:28 10:38:55 +01:00,2026-02-28T09:38:54Z,1,40.085347,20.938019,2523,Pinde — Smolikas et Pades,pinde-smolikas-pades-sommet-enneige-grece-09.jpg,Sommet enneige — Pinde — Smolikas et Pades,"Sommet enneige, pinde — smolikas et pades, lors d’une itinérance à ski en Grèce.",Sommet enneige dans les montagnes du pinde — smolikas et pades.,"Itinérance à ski en Grèce : sommet enneige, dans le secteur pinde — smolikas et pades.",forte
DSC00268 (1) (2026-05-16T13_40_56.496).jpg,1X2PcVNwJXoLeU-gPfzSy2s2cSpr7Sdeo,2026:02:23 08:30:53 +01:00,2026-02-23T07:31:01Z,8,39.584409,21.123734,1156,Tzoumerka — vallée de Matsouki,tzoumerka-vallee-de-matsouki-clocher-de-pierre-grece-10.jpg,Clocher de pierre — Tzoumerka — vallée de Matsouki,"Clocher de pierre, tzoumerka — vallée de matsouki, lors d’une itinérance à ski en Grèce.",Clocher de pierre dans les montagnes du tzoumerka — vallée de matsouki.,"Itinérance à ski en Grèce : clocher de pierre, dans le secteur tzoumerka — vallée de matsouki.",forte
