source_exacte,fichier_web,DateTimeOriginal,fuseau_utilisé,latitude_GPX,longitude_GPX,écart_photo_GPX_secondes,certitude_GPX,localisation,titre_media,texte_alternatif,legende,description,EXIF_complets_identiques,octets_source,octets_web
20250422_093322 (1).jpg,kazakhstan-ile-alatau-ski-randonnee-20250422-093322-1-001.jpg,2025:04:22 07:33:22,+03:00,42.9908899,77.1058914,15,élevée,"traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 3","Traversée à ski — traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 3","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan, au jour 3 de l’itinérance.","Jour 3 de la traversée à ski du massif de l’Ile Alatau, Kazakhstan.","Photo prise pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan. Point GPX temporel le plus proche : 42.990890, 77.105891, écart 15 secondes. Nom original conservé dans le manifeste : 20250422_093322 (1).jpg.",True,3054542,1345025
20250422_120555.jpg,kazakhstan-ile-alatau-ski-randonnee-20250422-120555-002.jpg,2025:04:22 12:05:55,+05:00,42.9821143,77.0857622,10,élevée,"traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 3","Traversée à ski — traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 3","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan, au jour 3 de l’itinérance.","Jour 3 de la traversée à ski du massif de l’Ile Alatau, Kazakhstan.","Photo prise pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan. Point GPX temporel le plus proche : 42.982114, 77.085762, écart 10 secondes. Nom original conservé dans le manifeste : 20250422_120555.jpg.",True,6352618,518389
20250423_050840 (1).jpg,kazakhstan-ile-alatau-ski-randonnee-20250423-050840-1-003.jpg,2025:04:23 03:08:40,+03:00,43.0019908,77.0186454,93,élevée,"traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 4","Traversée à ski — traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 4","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan, au jour 4 de l’itinérance.","Jour 4 de la traversée à ski du massif de l’Ile Alatau, Kazakhstan.","Photo prise pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan. Point GPX temporel le plus proche : 43.001991, 77.018645, écart 93 secondes. Nom original conservé dans le manifeste : 20250423_050840 (1).jpg.",True,1044480,474396
20250423_061238.jpg,kazakhstan-ile-alatau-ski-randonnee-20250423-061238-004.jpg,2025:04:23 04:12:38,+03:00,42.9969005,76.9968286,3,élevée,"traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 4","Traversée à ski — traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 4","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan, au jour 4 de l’itinérance.","Jour 4 de la traversée à ski du massif de l’Ile Alatau, Kazakhstan.","Photo prise pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan. Point GPX temporel le plus proche : 42.996901, 76.996829, écart 3 secondes. Nom original conservé dans le manifeste : 20250423_061238.jpg.",True,1850529,802877
20250423_081349 (1).jpg,kazakhstan-ile-alatau-ski-randonnee-20250423-081349-1-005.jpg,2025:04:23 06:13:50,+03:00,43.0111704,76.9702572,3,élevée,"traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 4","Traversée à ski — traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 4","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan, au jour 4 de l’itinérance.","Jour 4 de la traversée à ski du massif de l’Ile Alatau, Kazakhstan.","Photo prise pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan. Point GPX temporel le plus proche : 43.011170, 76.970257, écart 3 secondes. Nom original conservé dans le manifeste : 20250423_081349 (1).jpg.",True,1182982,678217
20250423_101337.jpg,kazakhstan-ile-alatau-ski-randonnee-20250423-101337-006.jpg,2025:04:23 10:13:37,+05:00,43.0151786,76.9545869,0,élevée,"traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 4","Traversée à ski — traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 4","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan, au jour 4 de l’itinérance.","Jour 4 de la traversée à ski du massif de l’Ile Alatau, Kazakhstan.","Photo prise pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan. Point GPX temporel le plus proche : 43.015179, 76.954587, écart 0 secondes. Nom original conservé dans le manifeste : 20250423_101337.jpg.",True,2413656,733562
20250423_144634 (1).jpg,kazakhstan-ile-alatau-ski-randonnee-20250423-144634-1-007.jpg,2025:04:23 12:46:34,+03:00,43.0420636,76.9438463,2592,faible,"traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 4","Traversée à ski — traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 4","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan, au jour 4 de l’itinérance.","Jour 4 de la traversée à ski du massif de l’Ile Alatau, Kazakhstan.","Photo prise pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan. Point GPX temporel le plus proche : 43.042064, 76.943846, écart 2592 secondes. Nom original conservé dans le manifeste : 20250423_144634 (1).jpg.",True,2373755,1086588
20250423_150749.jpg,kazakhstan-ile-alatau-ski-randonnee-20250423-150749-008.jpg,2025:04:23 15:07:49,+05:00,43.0420636,76.9438463,3867,faible,"traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 4","Traversée à ski — traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 4","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan, au jour 4 de l’itinérance.","Jour 4 de la traversée à ski du massif de l’Ile Alatau, Kazakhstan.","Photo prise pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan. Point GPX temporel le plus proche : 43.042064, 76.943846, écart 3867 secondes. Nom original conservé dans le manifeste : 20250423_150749.jpg.",True,4194304,485083
20250423_153240.jpg,kazakhstan-ile-alatau-ski-randonnee-20250423-153240-009.jpg,2025:04:23 13:32:40,+03:00,43.0420636,76.9438463,5358,faible,"traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 4","Traversée à ski — traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 4","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan, au jour 4 de l’itinérance.","Jour 4 de la traversée à ski du massif de l’Ile Alatau, Kazakhstan.","Photo prise pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan. Point GPX temporel le plus proche : 43.042064, 76.943846, écart 5358 secondes. Nom original conservé dans le manifeste : 20250423_153240.jpg.",True,1031510,646433
20250424_050153.jpg,kazakhstan-ile-alatau-ski-randonnee-20250424-050153-010.jpg,2025:04:24 03:01:53,+03:00,43.0420636,76.9438463,652,moyenne,"traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 5","Traversée à ski — traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 5","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan, au jour 5 de l’itinérance.","Jour 5 de la traversée à ski du massif de l’Ile Alatau, Kazakhstan.","Photo prise pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan. Point GPX temporel le plus proche : 43.042064, 76.943846, écart 652 secondes. Nom original conservé dans le manifeste : 20250424_050153.jpg.",True,800913,610291
20250425_140324.jpg,kazakhstan-ile-alatau-ski-randonnee-20250425-140324-011.jpg,2025:04:25 14:03:24,+05:00,43.0950394,76.7846926,2541,faible,"traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 6","Traversée à ski — traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 6","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan, au jour 6 de l’itinérance.","Jour 6 de la traversée à ski du massif de l’Ile Alatau, Kazakhstan.","Photo prise pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan. Point GPX temporel le plus proche : 43.095039, 76.784693, écart 2541 secondes. Nom original conservé dans le manifeste : 20250425_140324.jpg.",True,2097152,544987
20250426_122432.jpg,kazakhstan-ile-alatau-ski-randonnee-20250426-122432-012.jpg,2025:04:26 12:24:32,+05:00,43.0950394,76.7846926,83009,faible,"traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 6","Traversée à ski — traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 6","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan, au jour 6 de l’itinérance.","Jour 6 de la traversée à ski du massif de l’Ile Alatau, Kazakhstan.","Photo prise pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan. Point GPX temporel le plus proche : 43.095039, 76.784693, écart 83009 secondes. Nom original conservé dans le manifeste : 20250426_122432.jpg.",True,6876036,729398
DSC01038 (1).jpg,kazakhstan-ile-alatau-ski-randonnee-dsc01038-1-013.jpg,2025:04:20 10:20:42,+02:00,43.1129376,77.1112803,515,moyenne,"traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 1","Traversée à ski — traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 1","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan, au jour 1 de l’itinérance.","Jour 1 de la traversée à ski du massif de l’Ile Alatau, Kazakhstan.","Photo prise pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan. Point GPX temporel le plus proche : 43.112938, 77.111280, écart 515 secondes. Nom original conservé dans le manifeste : DSC01038 (1).jpg.",True,773038,514920
DSC01077.jpg,kazakhstan-ile-alatau-ski-randonnee-dsc01077-014.jpg,2025:04:20 11:42:42,+02:00,43.0979426,77.106059,2,élevée,"traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 1","Traversée à ski — traversée à ski du massif de l’Ile Alatau, Kazakhstan — jour 1","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan, au jour 1 de l’itinérance.","Jour 1 de la traversée à ski du massif de l’Ile Alatau, Kazakhstan.","Photo prise pendant la traversée à ski du massif de l’Ile Alatau, Kazakhstan. Point GPX temporel le plus proche : 43.097943, 77.106059, écart 2 secondes. Nom original conservé dans le manifeste : DSC01077.jpg.",True,1613788,795910
