source,fichier_web,DateTimeOriginal,fuseau,latitude_GPX,longitude_GPX,écart_photo_GPX_secondes,certitude_GPX,localisation,action,titre_media,texte_alternatif,legende,description,EXIF_complets_identiques,octets_source,octets_web
DSC04590.jpg,kosovo-traversee-ski-monts-sar-boulanger-kosovo-01.jpg,2025:02:07 07:30:52,+01:00,41.720756,20.4473357,9184,faible,"secteur occidental du massif du Šar, près du Korab",rencontre avec un boulanger,"Rencontre avec un boulanger — secteur occidental du massif du Šar, près du Korab","Artisan derrière le comptoir de sa boulangerie, secteur occidental du massif du Šar, près du Korab, pendant une traversée à ski du Kosovo.",Rencontre avec un boulanger pendant la traversée à ski des monts Šar au Kosovo.,"Artisan derrière le comptoir de sa boulangerie. Point GPX le plus proche temporellement : 41.720756, 20.447336, avec un écart de 9184 secondes.",True,479033,498259
DSC04594.jpg,kosovo-traversee-ski-monts-sar-epicier-kosovo-02.jpg,2025:02:07 08:37:45,+01:00,41.720756,20.4473357,5171,faible,"secteur occidental du massif du Šar, près du Korab",rencontre avec un commerçant,"Rencontre avec un commerçant — secteur occidental du massif du Šar, près du Korab","Commerçant levant son verre dans une épicerie locale, secteur occidental du massif du Šar, près du Korab, pendant une traversée à ski du Kosovo.",Rencontre avec un commerçant pendant la traversée à ski des monts Šar au Kosovo.,"Commerçant levant son verre dans une épicerie locale. Point GPX le plus proche temporellement : 41.720756, 20.447336, avec un écart de 5171 secondes.",True,567399,593933
DSC04635.jpg,kosovo-traversee-ski-monts-sar-portage-skis-vers-neige-03.jpg,2025:02:07 11:13:59,+01:00,41.7224726,20.4660213,2,élevée,"secteur occidental du massif du Šar, près du Korab",portage des skis vers la neige,"Portage des skis vers la neige — secteur occidental du massif du Šar, près du Korab","Skieur portant ses skis sur un versant encore herbeux, secteur occidental du massif du Šar, près du Korab, pendant une traversée à ski du Kosovo.",Portage des skis vers la neige pendant la traversée à ski des monts Šar au Kosovo.,"Skieur portant ses skis sur un versant encore herbeux. Point GPX le plus proche temporellement : 41.722473, 20.466021, avec un écart de 2 secondes.",True,625628,662546
DSC04650.jpg,kosovo-traversee-ski-monts-sar-montee-ski-mer-nuages-04.jpg,2025:02:07 11:25:12,+01:00,41.7252502,20.4691178,2,élevée,"secteur occidental du massif du Šar, près du Korab",montée à ski au-dessus des nuages,"Montée à ski au-dessus des nuages — secteur occidental du massif du Šar, près du Korab","Deux skieurs progressant sur un vaste plateau blanc, secteur occidental du massif du Šar, près du Korab, pendant une traversée à ski du Kosovo.",Montée à ski au-dessus des nuages pendant la traversée à ski des monts Šar au Kosovo.,"Deux skieurs progressant sur un vaste plateau blanc. Point GPX le plus proche temporellement : 41.725250, 20.469118, avec un écart de 2 secondes.",True,245264,305889
DSC04686.jpg,kosovo-traversee-ski-monts-sar-groupe-montee-crete-05.jpg,2025:02:07 12:15:14,+01:00,41.7319889,20.4849399,1,élevée,"secteur occidental du massif du Šar, près du Korab",montée du groupe sur une crête,"Montée du groupe sur une crête — secteur occidental du massif du Šar, près du Korab","Trois skieurs suivant la trace sur une crête du šar, secteur occidental du massif du Šar, près du Korab, pendant une traversée à ski du Kosovo.",Montée du groupe sur une crête pendant la traversée à ski des monts Šar au Kosovo.,"Trois skieurs suivant la trace sur une crête du šar. Point GPX le plus proche temporellement : 41.731989, 20.484940, avec un écart de 1 secondes.",True,612899,658455
DSC04711.jpg,kosovo-traversee-ski-monts-sar-skieur-crete-aerienne-06.jpg,2025:02:07 12:26:45,+01:00,41.7324379,20.4889325,0,élevée,"secteur occidental du massif du Šar, près du Korab",progression sur une crête aérienne,"Progression sur une crête aérienne — secteur occidental du massif du Šar, près du Korab","Skieur solitaire avançant sur le fil enneigé, secteur occidental du massif du Šar, près du Korab, pendant une traversée à ski du Kosovo.",Progression sur une crête aérienne pendant la traversée à ski des monts Šar au Kosovo.,"Skieur solitaire avançant sur le fil enneigé. Point GPX le plus proche temporellement : 41.732438, 20.488933, avec un écart de 0 secondes.",True,265136,318537
DSC04825.jpg,kosovo-traversee-ski-monts-sar-pause-pique-nique-rochers-07.jpg,2025:02:07 13:40:58,+01:00,41.7344242,20.5095076,1,élevée,"secteur occidental du massif du Šar, près du Korab",pause pique-nique en montagne,"Pause pique-nique en montagne — secteur occidental du massif du Šar, près du Korab","Deux compagnons déjeunant contre des rochers, secteur occidental du massif du Šar, près du Korab, pendant une traversée à ski du Kosovo.",Pause pique-nique en montagne pendant la traversée à ski des monts Šar au Kosovo.,"Deux compagnons déjeunant contre des rochers. Point GPX le plus proche temporellement : 41.734424, 20.509508, avec un écart de 1 secondes.",True,942929,1025304
DSC04866.jpg,kosovo-traversee-ski-monts-sar-village-montagne-kosovo-08.jpg,2025:02:07 16:58:18,+01:00,41.8061967,20.4915329,2,élevée,"secteur occidental du massif du Šar, près du Korab",village de montagne au crépuscule,"Village de montagne au crépuscule — secteur occidental du massif du Šar, près du Korab","Maisons d’un village du šar au pied de la forêt, secteur occidental du massif du Šar, près du Korab, pendant une traversée à ski du Kosovo.",Village de montagne au crépuscule pendant la traversée à ski des monts Šar au Kosovo.,"Maisons d’un village du šar au pied de la forêt. Point GPX le plus proche temporellement : 41.806197, 20.491533, avec un écart de 2 secondes.",True,1014911,1142200
DSC04867.jpg,kosovo-traversee-ski-monts-sar-petit-dejeuner-guesthouse-09.jpg,2025:02:08 08:07:52,+01:00,41.8143647,20.4881299,1381,moyenne,"secteur occidental du massif du Šar, près du Korab",départ matinal de la guesthouse,"Départ matinal de la guesthouse — secteur occidental du massif du Šar, près du Korab","Voyageur sur la terrasse d’un hébergement local, secteur occidental du massif du Šar, près du Korab, pendant une traversée à ski du Kosovo.",Départ matinal de la guesthouse pendant la traversée à ski des monts Šar au Kosovo.,"Voyageur sur la terrasse d’un hébergement local. Point GPX le plus proche temporellement : 41.814365, 20.488130, avec un écart de 1381 secondes.",True,736753,764526
DSC04917.jpg,kosovo-traversee-ski-monts-sar-cirque-neige-rochers-10.jpg,2025:02:08 12:16:21,+01:00,41.7829046,20.5412593,2,élevée,"haute vallée de Brod, massif du Šar",traversée d’un cirque rocheux,"Traversée d’un cirque rocheux — haute vallée de Brod, massif du Šar","Skieur progressant entre des rochers enneigés, haute vallée de Brod, massif du Šar, pendant une traversée à ski du Kosovo.",Traversée d’un cirque rocheux pendant la traversée à ski des monts Šar au Kosovo.,"Skieur progressant entre des rochers enneigés. Point GPX le plus proche temporellement : 41.782905, 20.541259, avec un écart de 2 secondes.",True,621251,666897
