original,datetime_exif,offset_exif,camera_correction,gpx_timestamp,delta_seconds,latitude,longitude,altitude_m,jour,lieu,confidence,fichier_web_seo,titre,alt,legende,description,statut_web,notes,width,height,size_bytes,valid,error
DSC05483.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-route-et-village-sous-la-neige-05483.jpg,"Route et village sous la neige — Maroc, Haut Atlas","Route et village sous la neige dans le massif du Toubkal, Haut Atlas marocain",Haut Atlas marocain — route et village sous la neige,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : route et village sous la neige.",produite,,5211,3474,2558771,True,
DSC05489.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-route-et-village-sous-la-neige-05489.jpg,"Route et village sous la neige — Maroc, Haut Atlas","Route et village sous la neige dans le massif du Toubkal, Haut Atlas marocain",Haut Atlas marocain — route et village sous la neige,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : route et village sous la neige.",produite,,6000,4000,1514048,True,
DSC05496.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-route-et-village-sous-la-neige-05496.jpg,"Route et village sous la neige — Maroc, Haut Atlas","Route et village sous la neige dans le massif du Toubkal, Haut Atlas marocain",Haut Atlas marocain — route et village sous la neige,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : route et village sous la neige.",produite,,6000,4000,1095602,True,
DSC05543.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-route-et-village-sous-la-neige-05543.jpg,"Route et village sous la neige — Maroc, Haut Atlas","Route et village sous la neige dans le massif du Toubkal, Haut Atlas marocain",Haut Atlas marocain — route et village sous la neige,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : route et village sous la neige.",produite,,6000,4000,2124949,True,
DSC05569.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-vie-de-village-et-accueil-berbere-05569.jpg,"Vie de village et accueil berbere — Maroc, Haut Atlas","Vie de village et accueil berbere dans le massif du Toubkal, Haut Atlas marocain",Haut Atlas marocain — vie de village et accueil berbere,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : vie de village et accueil berbere.",produite,,6000,4000,1642024,True,
DSC05597.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-vie-de-village-et-accueil-berbere-05597.jpg,"Vie de village et accueil berbere — Maroc, Haut Atlas","Vie de village et accueil berbere dans le massif du Toubkal, Haut Atlas marocain",Haut Atlas marocain — vie de village et accueil berbere,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : vie de village et accueil berbere.",produite,,4000,6000,2138091,True,
DSC05614.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-vie-de-village-et-accueil-berbere-05614.jpg,"Vie de village et accueil berbere — Maroc, Haut Atlas","Vie de village et accueil berbere dans le massif du Toubkal, Haut Atlas marocain",Haut Atlas marocain — vie de village et accueil berbere,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : vie de village et accueil berbere.",produite,,6000,4000,1499420,True,
DSC05655.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-vie-de-village-et-accueil-berbere-05655.jpg,"Vie de village et accueil berbere — Maroc, Haut Atlas","Vie de village et accueil berbere dans le massif du Toubkal, Haut Atlas marocain",Haut Atlas marocain — vie de village et accueil berbere,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : vie de village et accueil berbere.",produite,,4000,6000,3145728,True,
DSC05672.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-vie-de-village-et-accueil-berbere-05672.jpg,"Vie de village et accueil berbere — Maroc, Haut Atlas","Vie de village et accueil berbere dans le massif du Toubkal, Haut Atlas marocain",Haut Atlas marocain — vie de village et accueil berbere,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : vie de village et accueil berbere.",produite,,4000,6000,1896066,True,
DSC05679.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-vie-de-village-et-accueil-berbere-05679.jpg,"Vie de village et accueil berbere — Maroc, Haut Atlas","Vie de village et accueil berbere dans le massif du Toubkal, Haut Atlas marocain",Haut Atlas marocain — vie de village et accueil berbere,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : vie de village et accueil berbere.",produite,,5840,3893,3656415,True,
DSC05712-2.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,,,,,,écartée,doublon strict de DSC05712.jpg,5112,3408,738925,True,
DSC05712.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-montee-a-ski-dans-la-neige-05712.jpg,"Montee a ski dans la neige — Maroc, Haut Atlas","Montee a ski dans la neige dans le massif du Toubkal, Haut Atlas marocain",,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : montee a ski dans la neige.",produite,,5112,3408,738925,True,
DSC05753.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-montee-a-ski-dans-la-neige-05753.jpg,"Montee a ski dans la neige — Maroc, Haut Atlas","Montee a ski dans la neige dans le massif du Toubkal, Haut Atlas marocain",,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : montee a ski dans la neige.",produite,,4000,6000,2828132,True,
DSC05775.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-montee-a-ski-dans-la-neige-05775.jpg,"Montee a ski dans la neige — Maroc, Haut Atlas","Montee a ski dans la neige dans le massif du Toubkal, Haut Atlas marocain",,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : montee a ski dans la neige.",produite,,6000,4000,1646981,True,
DSC05782.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-montee-a-ski-dans-la-neige-05782.jpg,"Montee a ski dans la neige — Maroc, Haut Atlas","Montee a ski dans la neige dans le massif du Toubkal, Haut Atlas marocain",,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : montee a ski dans la neige.",produite,,6000,4000,2418446,True,
DSC05813.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-montee-a-ski-dans-la-neige-05813.jpg,"Montee a ski dans la neige — Maroc, Haut Atlas","Montee a ski dans la neige dans le massif du Toubkal, Haut Atlas marocain",,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : montee a ski dans la neige.",produite,,5909,3939,3510286,True,
DSC05834.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-montee-a-ski-dans-la-neige-05834.jpg,"Montee a ski dans la neige — Maroc, Haut Atlas","Montee a ski dans la neige dans le massif du Toubkal, Haut Atlas marocain",,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : montee a ski dans la neige.",produite,,6000,4000,2364986,True,
DSC05844.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-montee-a-ski-dans-la-neige-05844.jpg,"Montee a ski dans la neige — Maroc, Haut Atlas","Montee a ski dans la neige dans le massif du Toubkal, Haut Atlas marocain",,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : montee a ski dans la neige.",produite,,5726,3817,1654784,True,
DSC05858.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-montee-a-ski-dans-la-neige-05858.jpg,"Montee a ski dans la neige — Maroc, Haut Atlas","Montee a ski dans la neige dans le massif du Toubkal, Haut Atlas marocain",,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : montee a ski dans la neige.",produite,,6000,4000,785914,True,
DSC05903.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-montee-a-ski-dans-la-neige-05903.jpg,"Montee a ski dans la neige — Maroc, Haut Atlas","Montee a ski dans la neige dans le massif du Toubkal, Haut Atlas marocain",,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : montee a ski dans la neige.",produite,,6000,4000,1634965,True,
DSC05914.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-montee-a-ski-dans-la-neige-05914.jpg,"Montee a ski dans la neige — Maroc, Haut Atlas","Montee a ski dans la neige dans le massif du Toubkal, Haut Atlas marocain",,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : montee a ski dans la neige.",produite,,6000,4000,1090672,True,
DSC05968.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-montee-a-ski-dans-la-neige-05968.jpg,"Montee a ski dans la neige — Maroc, Haut Atlas","Montee a ski dans la neige dans le massif du Toubkal, Haut Atlas marocain",,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : montee a ski dans la neige.",produite,,6000,4000,3229037,True,
DSC05984.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-montee-a-ski-dans-la-neige-05984.jpg,"Montee a ski dans la neige — Maroc, Haut Atlas","Montee a ski dans la neige dans le massif du Toubkal, Haut Atlas marocain",,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : montee a ski dans la neige.",produite,,6000,4000,2716075,True,
DSC06026.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-vallee-et-pentes-du-haut-atlas-06026.jpg,"Vallee et pentes du haut atlas — Maroc, Haut Atlas","Vallee et pentes du haut atlas dans le massif du Toubkal, Haut Atlas marocain",,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : vallee et pentes du haut atlas.",produite,,5439,3626,1732729,True,
DSC06045.jpg,,,à vérifier,,,,,,,Haut Atlas marocain / massif du Toubkal (localisation à vérifier),à vérifier,maroc-haut-atlas-toubkal-vallee-et-pentes-du-haut-atlas-06045.jpg,"Vallee et pentes du haut atlas — Maroc, Haut Atlas","Vallee et pentes du haut atlas dans le massif du Toubkal, Haut Atlas marocain",,"Photographie du voyage à ski dans le Haut Atlas marocain, secteur du massif du Toubkal : vallee et pentes du haut atlas.",produite,,6000,4000,1765574,True,
