source_exacte,fichier_web,DateTimeOriginal,fuseau_utilisé,latitude_GPX,longitude_GPX,écart_photo_GPX_secondes,certitude_GPX,localisation,titre_media,texte_alternatif,legende,description,EXIF_complets_identiques,octets_source,octets_web,action
20250324_175013.jpg,suisse-dammastock-titlis-ski-randonnee-20250324-175013-001.jpg,2025:03:24 17:50:13,+01:00,46.6780257,8.3136302,0,élevée,"traversée à ski Dammastock–Titlis, Alpes suisses — jour 1","Passage étroit entre les rochers — traversée à ski Dammastock–Titlis, Alpes suisses","Passage étroit entre les rochers pendant la traversée Dammastock–Titlis dans les Alpes suisses, au jour 1 de l’itinérance.","Passage étroit entre les rochers, jour 1 de la traversée Dammastock–Titlis dans les Alpes suisses.","La photographie montre passage étroit entre les rochers, pendant la traversée Dammastock–Titlis dans les Alpes suisses. La localisation est issue du rapprochement temporel avec la trace GPX : 46.678026, 8.313630 (écart 0 secondes, confiance élevée). Nom source : 20250324_175013.jpg.",True,7017557,390025,passage étroit entre les rochers
20250327_085103.jpg,suisse-dammastock-titlis-ski-randonnee-20250327-085103-002.jpg,2025:03:27 08:51:03,+01:00,46.7675205,8.4484499,0,élevée,"traversée à ski Dammastock–Titlis, Alpes suisses — jour 4","Aiguille rocheuse sous le ciel bleu — traversée à ski Dammastock–Titlis, Alpes suisses","Aiguille rocheuse sous le ciel bleu pendant la traversée Dammastock–Titlis dans les Alpes suisses, au jour 4 de l’itinérance.","Aiguille rocheuse sous le ciel bleu, jour 4 de la traversée Dammastock–Titlis dans les Alpes suisses.","La photographie montre aiguille rocheuse sous le ciel bleu, pendant la traversée Dammastock–Titlis dans les Alpes suisses. La localisation est issue du rapprochement temporel avec la trace GPX : 46.767521, 8.448450 (écart 0 secondes, confiance élevée). Nom source : 20250327_085103.jpg.",True,13071212,1001034,aiguille rocheuse sous le ciel bleu
20250327_095008.jpg,suisse-dammastock-titlis-ski-randonnee-20250327-095008-003.jpg,2025:03:27 09:50:08,+01:00,46.7634613,8.4484469,1,élevée,"traversée à ski Dammastock–Titlis, Alpes suisses — jour 4","Couloir enneigé dominé par les parois — traversée à ski Dammastock–Titlis, Alpes suisses","Couloir enneigé dominé par les parois pendant la traversée Dammastock–Titlis dans les Alpes suisses, au jour 4 de l’itinérance.","Couloir enneigé dominé par les parois, jour 4 de la traversée Dammastock–Titlis dans les Alpes suisses.","La photographie montre couloir enneigé dominé par les parois, pendant la traversée Dammastock–Titlis dans les Alpes suisses. La localisation est issue du rapprochement temporel avec la trace GPX : 46.763461, 8.448447 (écart 1 secondes, confiance élevée). Nom source : 20250327_095008.jpg.",True,13970470,1246186,couloir enneigé dominé par les parois
DSC08730 (2025-04-03T10_28_26.099).jpg,suisse-dammastock-titlis-ski-randonnee-dsc08730-2025-04-03t10-28-26-099-004.jpg,2025:03:24 19:42:42,+01:00,46.6880411,8.3422067,1,élevée,"traversée à ski Dammastock–Titlis, Alpes suisses — jour 1","Arrivée nocturne dans une cabane — traversée à ski Dammastock–Titlis, Alpes suisses","Arrivée nocturne dans une cabane pendant la traversée Dammastock–Titlis dans les Alpes suisses, au jour 1 de l’itinérance.","Arrivée nocturne dans une cabane, jour 1 de la traversée Dammastock–Titlis dans les Alpes suisses.","La photographie montre arrivée nocturne dans une cabane, pendant la traversée Dammastock–Titlis dans les Alpes suisses. La localisation est issue du rapprochement temporel avec la trace GPX : 46.688041, 8.342207 (écart 1 secondes, confiance élevée). Nom source : DSC08730 (2025-04-03T10_28_26.099).jpg.",True,768539,370358,arrivée nocturne dans une cabane
DSC08761.jpg,suisse-dammastock-titlis-ski-randonnee-dsc08761-005.jpg,2025:03:24 21:51:03,+01:00,46.6948364,8.347991,6100,faible,"traversée à ski Dammastock–Titlis, Alpes suisses — jour 1","Dîner convivial dans la cabane — traversée à ski Dammastock–Titlis, Alpes suisses","Dîner convivial dans la cabane pendant la traversée Dammastock–Titlis dans les Alpes suisses, au jour 1 de l’itinérance.","Dîner convivial dans la cabane, jour 1 de la traversée Dammastock–Titlis dans les Alpes suisses.","La photographie montre dîner convivial dans la cabane, pendant la traversée Dammastock–Titlis dans les Alpes suisses. La localisation est issue du rapprochement temporel avec la trace GPX : 46.694836, 8.347991 (écart 6100 secondes, confiance faible). Nom source : DSC08761.jpg.",True,872103,395112,dîner convivial dans la cabane
DSC08763 (2025-04-03T10_28_48.853).jpg,suisse-dammastock-titlis-ski-randonnee-dsc08763-2025-04-03t10-28-48-853-006.jpg,2025:03:25 06:22:47,+01:00,46.6948541,8.3479728,7817,faible,"traversée à ski Dammastock–Titlis, Alpes suisses — jour 2","Lever du jour sur les montagnes suisses — traversée à ski Dammastock–Titlis, Alpes suisses","Lever du jour sur les montagnes suisses pendant la traversée Dammastock–Titlis dans les Alpes suisses, au jour 2 de l’itinérance.","Lever du jour sur les montagnes suisses, jour 2 de la traversée Dammastock–Titlis dans les Alpes suisses.","La photographie montre lever du jour sur les montagnes suisses, pendant la traversée Dammastock–Titlis dans les Alpes suisses. La localisation est issue du rapprochement temporel avec la trace GPX : 46.694854, 8.347973 (écart 7817 secondes, confiance faible). Nom source : DSC08763 (2025-04-03T10_28_48.853).jpg.",True,736984,326837,lever du jour sur les montagnes suisses
DSC08781.jpg,suisse-dammastock-titlis-ski-randonnee-dsc08781-007.jpg,2025:03:25 08:38:23,+01:00,46.6948825,8.3500413,1,élevée,"traversée à ski Dammastock–Titlis, Alpes suisses — jour 2","Traversée d’une passerelle suspendue — traversée à ski Dammastock–Titlis, Alpes suisses","Traversée d’une passerelle suspendue pendant la traversée Dammastock–Titlis dans les Alpes suisses, au jour 2 de l’itinérance.","Traversée d’une passerelle suspendue, jour 2 de la traversée Dammastock–Titlis dans les Alpes suisses.","La photographie montre traversée d’une passerelle suspendue, pendant la traversée Dammastock–Titlis dans les Alpes suisses. La localisation est issue du rapprochement temporel avec la trace GPX : 46.694882, 8.350041 (écart 1 secondes, confiance élevée). Nom source : DSC08781.jpg.",True,1412929,628883,traversée d’une passerelle suspendue
DSC08804.jpg,suisse-dammastock-titlis-ski-randonnee-dsc08804-008.jpg,2025:03:25 08:48:04,+01:00,46.6944289,8.3560504,1,élevée,"traversée à ski Dammastock–Titlis, Alpes suisses — jour 2","Panorama sur un lac encore gelé — traversée à ski Dammastock–Titlis, Alpes suisses","Panorama sur un lac encore gelé pendant la traversée Dammastock–Titlis dans les Alpes suisses, au jour 2 de l’itinérance.","Panorama sur un lac encore gelé, jour 2 de la traversée Dammastock–Titlis dans les Alpes suisses.","La photographie montre panorama sur un lac encore gelé, pendant la traversée Dammastock–Titlis dans les Alpes suisses. La localisation est issue du rapprochement temporel avec la trace GPX : 46.694429, 8.356050 (écart 1 secondes, confiance élevée). Nom source : DSC08804.jpg.",True,1097062,491480,panorama sur un lac encore gelé
DSC08855.jpg,suisse-dammastock-titlis-ski-randonnee-dsc08855-009.jpg,2025:03:26 07:07:25,+01:00,46.7305589,8.4276707,1037,moyenne,"traversée à ski Dammastock–Titlis, Alpes suisses — jour 3","Passage devant l’hôtel du glacier du rhône — traversée à ski Dammastock–Titlis, Alpes suisses","Passage devant l’hôtel du glacier du rhône pendant la traversée Dammastock–Titlis dans les Alpes suisses, au jour 3 de l’itinérance.","Passage devant l’hôtel du glacier du rhône, jour 3 de la traversée Dammastock–Titlis dans les Alpes suisses.","La photographie montre passage devant l’hôtel du glacier du Rhône, pendant la traversée Dammastock–Titlis dans les Alpes suisses. La localisation est issue du rapprochement temporel avec la trace GPX : 46.730559, 8.427671 (écart 1037 secondes, confiance moyenne). Nom source : DSC08855.jpg.",True,751922,357094,passage devant l’hôtel du glacier du Rhône
DSC08878.jpg,suisse-dammastock-titlis-ski-randonnee-dsc08878-010.jpg,2025:03:26 13:52:59,+01:00,46.7701728,8.4466889,970,moyenne,"traversée à ski Dammastock–Titlis, Alpes suisses — jour 3","Pause déjeuner dans une cabane — traversée à ski Dammastock–Titlis, Alpes suisses","Pause déjeuner dans une cabane pendant la traversée Dammastock–Titlis dans les Alpes suisses, au jour 3 de l’itinérance.","Pause déjeuner dans une cabane, jour 3 de la traversée Dammastock–Titlis dans les Alpes suisses.","La photographie montre pause déjeuner dans une cabane, pendant la traversée Dammastock–Titlis dans les Alpes suisses. La localisation est issue du rapprochement temporel avec la trace GPX : 46.770173, 8.446689 (écart 970 secondes, confiance moyenne). Nom source : DSC08878.jpg.",True,712049,331472,pause déjeuner dans une cabane
