source_exacte,fichier_web,DateTimeOriginal,fuseau_utilisé,latitude_GPX,longitude_GPX,écart_photo_GPX_secondes,certitude_GPX,localisation,titre_media,texte_alternatif,legende,description,EXIF_complets_identiques,octets_source,octets_web
DSC02297.JPG,italie-chateleysine-ski-randonnee-dsc02297-001.jpg,2024:01:29 13:48:47,+01:00,45.7769218,7.3408876,1217,moyenne,"traversée à ski du massif de Chateleysine, Alpes italiennes — jour 1","Traversée à ski — traversée à ski du massif de Chateleysine, Alpes italiennes — jour 1","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de Chateleysine, Alpes italiennes, au jour 1 de l’itinérance.","Jour 1 de la traversée à ski du massif de Chateleysine, Alpes italiennes.","Photo prise pendant la traversée à ski du massif de Chateleysine, Alpes italiennes. Point GPX temporel le plus proche : 45.776922, 7.340888, écart 1217 secondes. Nom original conservé dans le manifeste : DSC02297.JPG.",True,715475,437138
DSC02322.JPG,italie-chateleysine-ski-randonnee-dsc02322-002.jpg,2024:01:29 15:52:08,+01:00,45.7867591,7.3523453,2,élevée,"traversée à ski du massif de Chateleysine, Alpes italiennes — jour 1","Traversée à ski — traversée à ski du massif de Chateleysine, Alpes italiennes — jour 1","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de Chateleysine, Alpes italiennes, au jour 1 de l’itinérance.","Jour 1 de la traversée à ski du massif de Chateleysine, Alpes italiennes.","Photo prise pendant la traversée à ski du massif de Chateleysine, Alpes italiennes. Point GPX temporel le plus proche : 45.786759, 7.352345, écart 2 secondes. Nom original conservé dans le manifeste : DSC02322.JPG.",True,414083,253704
DSC02323.JPG,italie-chateleysine-ski-randonnee-dsc02323-003.jpg,2024:01:29 15:52:54,+01:00,45.7867591,7.3523453,1,élevée,"traversée à ski du massif de Chateleysine, Alpes italiennes — jour 1","Traversée à ski — traversée à ski du massif de Chateleysine, Alpes italiennes — jour 1","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de Chateleysine, Alpes italiennes, au jour 1 de l’itinérance.","Jour 1 de la traversée à ski du massif de Chateleysine, Alpes italiennes.","Photo prise pendant la traversée à ski du massif de Chateleysine, Alpes italiennes. Point GPX temporel le plus proche : 45.786759, 7.352345, écart 1 secondes. Nom original conservé dans le manifeste : DSC02323.JPG.",True,899765,545874
DSC02341.JPG,italie-chateleysine-ski-randonnee-dsc02341-004.jpg,2024:01:29 16:08:51,+01:00,45.7865088,7.3550002,2,élevée,"traversée à ski du massif de Chateleysine, Alpes italiennes — jour 1","Traversée à ski — traversée à ski du massif de Chateleysine, Alpes italiennes — jour 1","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de Chateleysine, Alpes italiennes, au jour 1 de l’itinérance.","Jour 1 de la traversée à ski du massif de Chateleysine, Alpes italiennes.","Photo prise pendant la traversée à ski du massif de Chateleysine, Alpes italiennes. Point GPX temporel le plus proche : 45.786509, 7.355000, écart 2 secondes. Nom original conservé dans le manifeste : DSC02341.JPG.",True,564188,341467
DSC02407.JPG,italie-chateleysine-ski-randonnee-dsc02407-005.jpg,2024:01:29 17:06:16,+01:00,45.7867932,7.3640545,2,élevée,"traversée à ski du massif de Chateleysine, Alpes italiennes — jour 1","Traversée à ski — traversée à ski du massif de Chateleysine, Alpes italiennes — jour 1","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de Chateleysine, Alpes italiennes, au jour 1 de l’itinérance.","Jour 1 de la traversée à ski du massif de Chateleysine, Alpes italiennes.","Photo prise pendant la traversée à ski du massif de Chateleysine, Alpes italiennes. Point GPX temporel le plus proche : 45.786793, 7.364054, écart 2 secondes. Nom original conservé dans le manifeste : DSC02407.JPG.",True,526206,317503
DSC02435.JPG,italie-chateleysine-ski-randonnee-dsc02435-006.jpg,2024:01:29 18:07:05,+01:00,45.7884237,7.3692634,1,élevée,"traversée à ski du massif de Chateleysine, Alpes italiennes — jour 1","Traversée à ski — traversée à ski du massif de Chateleysine, Alpes italiennes — jour 1","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de Chateleysine, Alpes italiennes, au jour 1 de l’itinérance.","Jour 1 de la traversée à ski du massif de Chateleysine, Alpes italiennes.","Photo prise pendant la traversée à ski du massif de Chateleysine, Alpes italiennes. Point GPX temporel le plus proche : 45.788424, 7.369263, écart 1 secondes. Nom original conservé dans le manifeste : DSC02435.JPG.",True,382994,248588
DSC02481_1.JPG,italie-chateleysine-ski-randonnee-dsc02481-1-007.jpg,2024:01:30 07:43:10,+01:00,45.7965562,7.3673751,8657,faible,"traversée à ski du massif de Chateleysine, Alpes italiennes — jour 2","Traversée à ski — traversée à ski du massif de Chateleysine, Alpes italiennes — jour 2","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de Chateleysine, Alpes italiennes, au jour 2 de l’itinérance.","Jour 2 de la traversée à ski du massif de Chateleysine, Alpes italiennes.","Photo prise pendant la traversée à ski du massif de Chateleysine, Alpes italiennes. Point GPX temporel le plus proche : 45.796556, 7.367375, écart 8657 secondes. Nom original conservé dans le manifeste : DSC02481_1.JPG.",True,580753,357961
DSC02492.JPG,italie-chateleysine-ski-randonnee-dsc02492-008.jpg,2024:01:30 09:23:03,+01:00,45.7965562,7.3673751,2664,faible,"traversée à ski du massif de Chateleysine, Alpes italiennes — jour 2","Traversée à ski — traversée à ski du massif de Chateleysine, Alpes italiennes — jour 2","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de Chateleysine, Alpes italiennes, au jour 2 de l’itinérance.","Jour 2 de la traversée à ski du massif de Chateleysine, Alpes italiennes.","Photo prise pendant la traversée à ski du massif de Chateleysine, Alpes italiennes. Point GPX temporel le plus proche : 45.796556, 7.367375, écart 2664 secondes. Nom original conservé dans le manifeste : DSC02492.JPG.",True,515681,327990
DSC02519.JPG,italie-chateleysine-ski-randonnee-dsc02519-009.jpg,2024:01:30 10:43:58,+01:00,45.8047359,7.3733301,1,élevée,"traversée à ski du massif de Chateleysine, Alpes italiennes — jour 2","Traversée à ski — traversée à ski du massif de Chateleysine, Alpes italiennes — jour 2","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de Chateleysine, Alpes italiennes, au jour 2 de l’itinérance.","Jour 2 de la traversée à ski du massif de Chateleysine, Alpes italiennes.","Photo prise pendant la traversée à ski du massif de Chateleysine, Alpes italiennes. Point GPX temporel le plus proche : 45.804736, 7.373330, écart 1 secondes. Nom original conservé dans le manifeste : DSC02519.JPG.",True,728068,448116
DSC02563.JPG,italie-chateleysine-ski-randonnee-dsc02563-010.jpg,2024:01:30 12:28:56,+01:00,45.8085651,7.3808096,2,élevée,"traversée à ski du massif de Chateleysine, Alpes italiennes — jour 2","Traversée à ski — traversée à ski du massif de Chateleysine, Alpes italiennes — jour 2","Scène de voyage et de ski de randonnée pendant la traversée à ski du massif de Chateleysine, Alpes italiennes, au jour 2 de l’itinérance.","Jour 2 de la traversée à ski du massif de Chateleysine, Alpes italiennes.","Photo prise pendant la traversée à ski du massif de Chateleysine, Alpes italiennes. Point GPX temporel le plus proche : 45.808565, 7.380810, écart 2 secondes. Nom original conservé dans le manifeste : DSC02563.JPG.",True,680751,419973
